role_id,database_version,release_month,O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8577,Schedule times of shipment and modes of transportation for materials.,Supplemental,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8583,"Inventory supplies and requisition or purchase additional items, as necessary.",Supplemental,58,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8578,Quote prices to customers.,Supplemental,57,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8580,"Provide assistance in balancing books, tracking, monitoring, or projecting a unit's budget needs, and in developing unit policies and procedures.",Supplemental,58,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8581,Inspect job sites to determine the extent of maintenance or repairs needed.,Supplemental,58,08/2024,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",21216,"Examine and inspect containers, materials, or products to ensure that product quality and packing specifications are met.",Core,72,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3212,"Measure, weigh, and count products and materials.",Core,74,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3214,"Record product, packaging, and order information on specified forms and records.",Core,73,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3216,"Seal containers or materials, using glues, fasteners, nails, and hand tools.",Core,72,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3218,"Assemble, line, and pad cartons, crates, and containers, using hand tools.",Core,71,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3222,"Obtain, move, and sort products, materials, containers, and orders, using hand tools.",Core,73,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3211,"Mark and label containers, container tags, or products, using marking tools.",Core,75,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3219,"Clean containers, materials, supplies, or work areas, using cleaning solutions and hand tools.",Core,75,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3215,"Remove completed or defective products or materials, placing them on moving equipment, such as conveyors, or in specified areas, such as loading docks.",Supplemental,74,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3221,"Place or pour products or materials into containers, using hand tools and equipment, or fill containers from spouts or chutes.",Supplemental,74,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3217,Load materials and products into package processing equipment.,Supplemental,73,08/2020,Incumbent
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",3220,Transport packages to customers' vehicles.,Supplemental,72,08/2020,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23885,Take inventory or examine merchandise to identify items to be reordered or replenished.,Core,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23877,Answer customers' questions about merchandise and advise customers on merchandise selection.,Core,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23878,"Receive and count stock items, and record data manually or on computer.",Core,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23900,"Receive, unload, open, unpack, or issue sales floor merchandise.",Core,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23880,"Stock shelves, racks, cases, bins, and tables with new or transferred merchandise.",Core,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23874,"Pack and unpack items to be stocked on shelves in stockrooms, warehouses, or storage yards.",Core,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23884,"Mark stock items, using identification tags, stamps, electric marking tools, or other labeling equipment.",Core,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23875,"Store items in an orderly and accessible manner in warehouses, tool rooms, supply rooms, or other areas.",Core,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23897,"Requisition merchandise from supplier, based on available space, merchandise on hand, customer demand, or advertised specials.",Core,89,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23881,Compare merchandise invoices to items actually received to ensure that shipments are correct.,Core,91,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23872,Obtain merchandise from bins or shelves.,Core,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23886,"Issue or distribute materials, products, parts, and supplies to customers or coworkers, based on information from incoming requisitions.",Core,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23873,"Read orders to ascertain catalog numbers, sizes, colors, and quantities of merchandise.",Core,89,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23893,"Recommend disposal of excess, defective, or obsolete stock.",Core,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23892,"Clean and maintain supplies, tools, equipment, and storage areas to ensure compliance with safety regulations.",Core,91,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23891,"Dispose of damaged or defective items, or return them to vendors.",Core,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23894,Keep records on the use or damage of stock or stock-handling equipment.,Core,89,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23887,"Provide assistance or direction to other stockroom, warehouse, or storage yard workers.",Core,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23898,"Determine proper storage methods, identification, and stock location, based on turnover, environmental factors, and physical capabilities of facilities.",Core,91,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23876,"Examine and inspect stock items for wear or defects, reporting any damage to supervisors.",Core,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23888,"Clean display cases, shelves, and aisles.",Core,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23896,Compute prices of items or groups of items.,Supplemental,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23899,Operate equipment such as forklifts.,Supplemental,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23882,"Itemize and total customer merchandise selection at checkout counter, using cash register, and accept cash or charge card for purchases.",Supplemental,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23883,Transport packages to customers' vehicles.,Supplemental,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23879,"Stamp, attach, or change price tags on merchandise, referring to price list.",Supplemental,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23890,Pack customer purchases in bags or cartons.,Supplemental,89,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23889,"Design and set up advertising signs and displays of merchandise on shelves, counters, or tables to attract customers and promote sales.",Supplemental,90,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23871,Complete order receipts.,Supplemental,92,08/2026,Incumbent
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,23895,Keep records of out-going orders.,Supplemental,91,08/2026,Incumbent
