role_id,database_version,release_month,O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.3.j,Equipment Maintenance,IM,Importance,1,8,0,1,1,N,,08/2019,Analyst
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.3.k,Troubleshooting,IM,Importance,2,8,0,2,2,N,,08/2019,Analyst
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.3.l,Repairing,IM,Importance,1,8,0,1,1,N,,08/2019,Analyst
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.3.m,Quality Control Analysis,IM,Importance,2.12,8,0.125,1.88,2.37,N,,08/2019,Analyst
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.4.e,Judgment and Decision Making,IM,Importance,2.88,8,0.125,2.63,3.12,N,,08/2019,Analyst
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.4.g,Systems Analysis,IM,Importance,2.12,8,0.125,1.88,2.37,N,,08/2019,Analyst
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.4.h,Systems Evaluation,IM,Importance,2.12,8,0.125,1.88,2.37,N,,08/2019,Analyst
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.5.a,Time Management,IM,Importance,3,8,0,3,3,N,,08/2019,Analyst
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.5.b,Management of Financial Resources,IM,Importance,1.88,8,0.125,1.63,2.12,N,,08/2019,Analyst
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.5.c,Management of Material Resources,IM,Importance,2,8,0,2,2,N,,08/2019,Analyst
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.B.5.d,Management of Personnel Resources,IM,Importance,2.12,8,0.125,1.88,2.37,N,,08/2019,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.1.a,Social Perceptiveness,IM,Importance,3,8,0,3,3,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.1.b,Coordination,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.1.c,Persuasion,IM,Importance,2.88,8,0.125,2.63,3.12,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.1.d,Negotiation,IM,Importance,3,8,0,3,3,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.1.e,Instructing,IM,Importance,3.12,8,0.125,2.88,3.37,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.1.f,Service Orientation,IM,Importance,2.75,8,0.1637,2.4292,3.0708,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.2.i,Complex Problem Solving,IM,Importance,3.38,8,0.183,3.0164,3.7336,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.a,Operations Analysis,IM,Importance,1.75,8,0.1637,1.4292,2.0708,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.b,Technology Design,IM,Importance,1.5,8,0.189,1.1296,1.8704,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.c,Equipment Selection,IM,Importance,1.75,8,0.1637,1.4292,2.0708,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.d,Installation,IM,Importance,1,8,0,1,1,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.e,Programming,IM,Importance,1.25,8,0.1637,1,1.5708,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.g,Operations Monitoring,IM,Importance,2.75,8,0.1637,2.4292,3.0708,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.h,Operation and Control,IM,Importance,2.12,8,0.125,1.88,2.37,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.j,Equipment Maintenance,IM,Importance,1.5,8,0.189,1.1296,1.8704,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.k,Troubleshooting,IM,Importance,2,8,0.2673,1.4762,2.5238,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.l,Repairing,IM,Importance,1.5,8,0.189,1.1296,1.8704,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.3.m,Quality Control Analysis,IM,Importance,2.38,8,0.183,2.0164,2.7336,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.4.e,Judgment and Decision Making,IM,Importance,3.12,8,0.125,2.88,3.37,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.4.g,Systems Analysis,IM,Importance,2.62,8,0.183,2.2664,2.9836,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.4.h,Systems Evaluation,IM,Importance,2.88,8,0.125,2.63,3.12,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.5.a,Time Management,IM,Importance,3.38,8,0.183,3.0164,3.7336,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.5.b,Management of Financial Resources,IM,Importance,2.12,8,0.125,1.88,2.37,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.5.c,Management of Material Resources,IM,Importance,2.25,8,0.1637,1.9292,2.5708,N,,08/2024,Analyst
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.B.5.d,Management of Personnel Resources,IM,Importance,3.62,8,0.183,3.2664,3.9836,N,,08/2024,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.1.a,Social Perceptiveness,IM,Importance,2.12,8,0.125,1.88,2.37,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.1.b,Coordination,IM,Importance,2.62,8,0.183,2.2664,2.9836,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.1.c,Persuasion,IM,Importance,1.62,8,0.183,1.2664,1.9836,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.1.d,Negotiation,IM,Importance,1.62,8,0.183,1.2664,1.9836,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.1.e,Instructing,IM,Importance,1.88,8,0.2266,1.4309,2.3191,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.1.f,Service Orientation,IM,Importance,2.12,8,0.125,1.88,2.37,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.2.i,Complex Problem Solving,IM,Importance,2,8,0.189,1.6296,2.3704,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.a,Operations Analysis,IM,Importance,1.12,8,0.125,1,1.37,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.b,Technology Design,IM,Importance,1.12,8,0.125,1,1.37,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.c,Equipment Selection,IM,Importance,1.62,8,0.183,1.2664,1.9836,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.d,Installation,IM,Importance,1,8,0,1,1,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.e,Programming,IM,Importance,1.38,8,0.183,1.0164,1.7336,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.g,Operations Monitoring,IM,Importance,2.12,8,0.125,1.88,2.37,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.h,Operation and Control,IM,Importance,2,8,0,2,2,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.j,Equipment Maintenance,IM,Importance,1.38,8,0.183,1.0164,1.7336,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.k,Troubleshooting,IM,Importance,1.75,8,0.1637,1.4292,2.0708,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.l,Repairing,IM,Importance,1.25,8,0.1637,1,1.5708,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.3.m,Quality Control Analysis,IM,Importance,2.25,8,0.1637,1.9292,2.5708,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.4.e,Judgment and Decision Making,IM,Importance,2.25,8,0.1637,1.9292,2.5708,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.4.g,Systems Analysis,IM,Importance,1.88,8,0.125,1.63,2.12,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.4.h,Systems Evaluation,IM,Importance,1.88,8,0.125,1.63,2.12,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.5.a,Time Management,IM,Importance,2.25,8,0.1637,1.9292,2.5708,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.5.b,Management of Financial Resources,IM,Importance,1.25,8,0.1637,1,1.5708,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.5.c,Management of Material Resources,IM,Importance,1.5,8,0.189,1.1296,1.8704,N,,08/2020,Analyst
packing_associate,31.0,2026-08,53-7064.00,"Packers and Packagers, Hand",2.B.5.d,Management of Personnel Resources,IM,Importance,1.75,8,0.1637,1.4292,2.0708,N,,08/2020,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.1.a,Social Perceptiveness,IM,Importance,2.75,8,0.1637,2.4292,3.0708,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.1.b,Coordination,IM,Importance,2.75,8,0.1637,2.4292,3.0708,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.1.c,Persuasion,IM,Importance,2,8,0,2,2,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.1.d,Negotiation,IM,Importance,2,8,0,2,2,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.1.e,Instructing,IM,Importance,2,8,0,2,2,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.1.f,Service Orientation,IM,Importance,2.75,8,0.1637,2.4292,3.0708,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.2.i,Complex Problem Solving,IM,Importance,2.25,8,0.1637,1.9292,2.5708,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.a,Operations Analysis,IM,Importance,1.12,8,0.125,1,1.37,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.b,Technology Design,IM,Importance,1.5,8,0.189,1.1296,1.8704,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.c,Equipment Selection,IM,Importance,1,8,0,1,1,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.d,Installation,IM,Importance,1,8,0,1,1,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.e,Programming,IM,Importance,1.75,8,0.1637,1.4292,2.0708,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.g,Operations Monitoring,IM,Importance,2,8,0,2,2,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.h,Operation and Control,IM,Importance,2,8,0,2,2,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.j,Equipment Maintenance,IM,Importance,1,8,0,1,1,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.k,Troubleshooting,IM,Importance,1.88,8,0.125,1.63,2.12,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.l,Repairing,IM,Importance,1,8,0,1,1,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.3.m,Quality Control Analysis,IM,Importance,2,8,0,2,2,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.4.e,Judgment and Decision Making,IM,Importance,2.62,8,0.183,2.2664,2.9836,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.4.g,Systems Analysis,IM,Importance,2,8,0,2,2,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.4.h,Systems Evaluation,IM,Importance,2,8,0,2,2,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.5.a,Time Management,IM,Importance,2.62,8,0.183,2.2664,2.9836,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.5.b,Management of Financial Resources,IM,Importance,1.88,8,0.125,1.63,2.12,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.5.c,Management of Material Resources,IM,Importance,2,8,0,2,2,N,,08/2026,Analyst
fulfillment_associate,31.0,2026-08,53-7065.00,Stockers and Order Fillers,2.B.5.d,Management of Personnel Resources,IM,Importance,2.12,8,0.125,1.88,2.37,N,,08/2026,Analyst
