source_sheet,planning_date,source_lines,distinct_invoice_ids,positive_quantity_lines,positive_units,nonpositive_quantity_lines
Year 2009-2010,2010-04-01,1719,113,1702,17629,17
Year 2009-2010,2010-04-06,1106,67,1089,13071,17
Year 2009-2010,2010-04-07,1385,72,1373,23559,12
Year 2009-2010,2010-04-08,2024,96,2000,26828,24
Year 2009-2010,2010-04-09,919,57,912,9151,7
Year 2009-2010,2010-04-11,1114,44,1111,11708,3
Year 2009-2010,2010-04-12,1012,86,948,12892,64
Year 2009-2010,2010-04-13,1318,92,1249,25951,69
Year 2009-2010,2010-04-14,1129,64,1093,16536,36
Year 2009-2010,2010-04-15,1162,89,1140,10784,22
Year 2009-2010,2010-04-16,869,48,855,14902,14
Year 2009-2010,2010-04-18,1457,57,1451,13032,6
Year 2009-2010,2010-04-19,3132,86,3111,22105,21
Year 2009-2010,2010-04-20,1540,78,1523,13543,17
Year 2009-2010,2010-04-21,1325,86,1315,13698,10
Year 2009-2010,2010-04-22,1549,132,1412,21600,137
Year 2009-2010,2010-04-23,1157,70,1136,10286,21
Year 2009-2010,2010-04-25,1339,50,1319,8463,20
Year 2009-2010,2010-04-26,1962,120,1938,19643,24
Year 2009-2010,2010-04-27,1686,106,1647,23629,39
Year 2009-2010,2010-04-28,1787,79,1777,19491,10
Year 2009-2010,2010-04-29,2058,106,2021,17376,37
Year 2009-2010,2010-04-30,1308,94,1234,21364,74
Year 2009-2010,2010-05-02,845,43,840,6307,5
Year 2009-2010,2010-05-04,1458,101,1399,11588,59
Year 2009-2010,2010-05-05,1591,117,1513,15756,78
Year 2009-2010,2010-05-06,2132,128,2060,31769,72
Year 2009-2010,2010-05-07,1365,88,1344,27062,21
Year 2009-2010,2010-05-09,1755,64,1749,11971,6
Year 2009-2010,2010-05-10,1702,120,1610,28536,92
Year 2009-2010,2010-05-11,1786,180,1687,18751,99
Year 2009-2010,2010-05-12,1316,138,1253,22257,63
Year 2009-2010,2010-05-13,1417,95,1335,27377,82
Year 2009-2010,2010-05-14,952,106,805,15075,147
Year 2009-2010,2010-05-16,1519,47,1496,11066,23
Year 2009-2010,2010-05-17,1489,146,1378,16187,111
Year 2009-2010,2010-05-18,1532,91,1488,24918,44
Year 2009-2010,2010-05-19,1247,80,1186,9859,61
Year 2009-2010,2010-05-20,1625,88,1592,16026,33
Year 2009-2010,2010-05-21,1362,125,1289,10393,73
Year 2009-2010,2010-05-23,1346,53,1327,14040,19
Year 2009-2010,2010-05-24,1432,98,1412,34691,20
Year 2009-2010,2010-05-25,1483,156,1382,15472,101
Year 2009-2010,2010-05-26,1841,119,1808,18942,33
Year 2009-2010,2010-05-27,2038,101,2023,18055,15
Year 2009-2010,2010-05-28,1286,99,1200,12979,86
Year 2009-2010,2010-05-30,804,35,795,6271,9
Year 2009-2010,2010-06-01,1224,54,1207,8350,17
Year 2009-2010,2010-06-02,964,54,955,12055,9
Year 2009-2010,2010-06-03,1725,114,1631,17634,94
Year 2009-2010,2010-06-04,1467,142,1387,8938,80
Year 2009-2010,2010-06-06,2220,76,2208,14188,12
Year 2009-2010,2010-06-07,2641,119,2614,29719,27
Year 2009-2010,2010-06-08,2096,123,2062,26442,34
Year 2009-2010,2010-06-09,1477,96,1424,25492,53
Year 2009-2010,2010-06-10,1069,100,1005,9739,64
Year 2009-2010,2010-06-11,1786,103,1748,21593,38
Year 2009-2010,2010-06-13,1474,78,1453,11180,21
Year 2009-2010,2010-06-14,1657,75,1589,16250,68
Year 2009-2010,2010-06-15,1568,80,1528,20535,40
Year 2009-2010,2010-06-16,1843,93,1823,19025,20
Year 2009-2010,2010-06-17,1797,100,1765,13554,32
Year 2009-2010,2010-06-18,975,67,953,9613,22
Year 2009-2010,2010-06-20,440,27,439,4496,1
Year 2009-2010,2010-06-21,1783,52,1779,12218,4
Year 2009-2010,2010-06-22,1007,46,1003,7005,4
Year 2009-2010,2010-06-23,1221,70,1219,16258,2
Year 2009-2010,2010-06-24,1607,118,1532,13968,75
Year 2009-2010,2010-06-25,1219,52,1216,8440,3
Year 2009-2010,2010-06-27,1283,62,1254,10918,29
Year 2009-2010,2010-06-28,1870,80,1827,34790,43
Year 2009-2010,2010-06-29,1628,89,1607,22063,21
Year 2009-2010,2010-06-30,1942,146,1822,21078,120
Year 2009-2010,2010-07-01,1858,99,1810,16537,48
Year 2009-2010,2010-07-02,1059,58,1041,8753,18
Year 2009-2010,2010-07-04,680,22,679,5345,1
Year 2009-2010,2010-07-05,1953,127,1897,16793,56
Year 2009-2010,2010-07-06,1108,63,1098,11965,10
Year 2009-2010,2010-07-07,1748,98,1725,14791,23
Year 2009-2010,2010-07-08,1348,100,1316,12226,32
Year 2009-2010,2010-07-09,916,54,888,14261,28
Year 2009-2010,2010-07-11,708,29,706,5848,2
Year 2009-2010,2010-07-12,1216,66,1200,9821,16
Year 2009-2010,2010-07-13,1155,63,1143,10078,12
Year 2009-2010,2010-07-14,1442,108,1362,14400,80
Year 2009-2010,2010-07-15,1596,104,1572,27942,24
Year 2009-2010,2010-07-16,1226,131,1146,32559,80
Year 2009-2010,2010-07-18,909,43,884,9690,25
Year 2009-2010,2010-07-19,1448,68,1434,18553,14
Year 2009-2010,2010-07-20,1183,64,1164,12136,19
Year 2009-2010,2010-07-21,1282,85,1222,13199,60
Year 2009-2010,2010-07-22,1618,105,1586,14184,32
Year 2009-2010,2010-07-23,1056,55,1033,13393,23
Year 2009-2010,2010-07-25,1277,59,1266,11648,11
Year 2009-2010,2010-07-26,1539,76,1474,15081,65
Year 2009-2010,2010-07-27,1046,83,1029,14327,17
Year 2009-2010,2010-07-28,1344,86,1312,13391,32
Year 2009-2010,2010-07-29,1905,101,1837,14245,68
Year 2009-2010,2010-07-30,763,70,737,8450,26
Year 2009-2010,2010-08-01,886,39,875,9740,11
Year 2009-2010,2010-08-02,1203,73,1189,12245,14
Year 2009-2010,2010-08-03,1542,85,1495,16346,47
Year 2009-2010,2010-08-04,1405,64,1387,11761,18
Year 2009-2010,2010-08-05,1366,73,1334,62492,32
Year 2009-2010,2010-08-06,581,59,561,9933,20
Year 2009-2010,2010-08-08,910,47,897,8189,13
Year 2009-2010,2010-08-09,931,77,891,100356,40
Year 2009-2010,2010-08-10,1779,56,1740,20077,39
Year 2009-2010,2010-08-11,1030,54,1022,8226,8
Year 2009-2010,2010-08-12,1861,159,1803,19305,58
Year 2009-2010,2010-08-13,1526,107,1466,18263,60
Year 2009-2010,2010-08-15,1088,64,1070,17413,18
Year 2009-2010,2010-08-16,1048,73,1021,13058,27
Year 2009-2010,2010-08-17,983,67,929,18408,54
Year 2009-2010,2010-08-18,1629,63,1621,23001,8
Year 2009-2010,2010-08-19,1536,84,1524,22579,12
Year 2009-2010,2010-08-20,1297,66,1286,19181,11
Year 2009-2010,2010-08-22,1382,64,1365,13916,17
Year 2009-2010,2010-08-23,1187,62,1158,13330,29
Year 2009-2010,2010-08-24,1166,74,1135,19102,31
Year 2009-2010,2010-08-25,1652,104,1612,17615,40
Year 2009-2010,2010-08-26,1682,101,1661,17688,21
Year 2009-2010,2010-08-27,1041,47,1034,7395,7
Year 2009-2010,2010-08-29,812,40,811,8790,1
Year 2009-2010,2010-08-31,1783,75,1753,14394,30
Year 2009-2010,2010-09-01,1056,84,981,12927,75
Year 2009-2010,2010-09-02,1647,102,1608,21990,39
Year 2009-2010,2010-09-03,1070,78,1029,31306,41
Year 2009-2010,2010-09-05,814,36,813,7276,1
Year 2009-2010,2010-09-06,1591,72,1568,16246,23
Year 2009-2010,2010-09-07,1145,55,1141,15749,4
Year 2009-2010,2010-09-08,1102,64,1086,10261,16
Year 2009-2010,2010-09-09,1656,102,1615,13528,41
Year 2009-2010,2010-09-10,1028,51,994,10544,34
Year 2009-2010,2010-09-12,1326,49,1325,9409,1
Year 2009-2010,2010-09-13,2001,111,1970,28481,31
Year 2009-2010,2010-09-14,1294,67,1286,11416,8
Year 2009-2010,2010-09-15,1420,93,1400,26599,20
Year 2009-2010,2010-09-16,1695,119,1620,14569,75
Year 2009-2010,2010-09-17,1162,82,1109,11901,53
Year 2009-2010,2010-09-19,1980,60,1979,13798,1
Year 2009-2010,2010-09-20,1841,101,1817,25111,24
Year 2009-2010,2010-09-21,2476,143,2384,37532,92
Year 2009-2010,2010-09-22,1492,104,1475,14815,17
Year 2009-2010,2010-09-23,2010,100,1997,22593,13
Year 2009-2010,2010-09-24,1574,87,1543,28056,31
Year 2009-2010,2010-09-26,1475,76,1451,13499,24
Year 2009-2010,2010-09-27,2317,111,2266,126182,51
Year 2009-2010,2010-09-28,2854,172,2737,23713,117
Year 2009-2010,2010-09-29,1915,133,1883,21578,32
Year 2009-2010,2010-09-30,2150,123,2109,25029,41
Year 2009-2010,2010-10-01,1764,89,1738,22743,26
Year 2009-2010,2010-10-03,2297,90,2267,20451,30
Year 2009-2010,2010-10-04,2118,101,2092,23579,26
Year 2009-2010,2010-10-05,2772,206,2658,35133,114
Year 2009-2010,2010-10-06,1302,71,1288,21956,14
Year 2009-2010,2010-10-07,3655,160,3562,30140,93
Year 2009-2010,2010-10-08,2034,101,1985,41495,49
Year 2009-2010,2010-10-10,1724,71,1718,12436,6
Year 2009-2010,2010-10-11,2511,126,2464,25172,47
Year 2009-2010,2010-10-12,2483,145,2428,29562,55
Year 2009-2010,2010-10-13,2201,103,2169,40374,32
Year 2009-2010,2010-10-14,2078,122,2014,37326,64
Year 2009-2010,2010-10-15,2316,138,2297,22602,19
Year 2009-2010,2010-10-17,2745,80,2717,19100,28
Year 2009-2010,2010-10-18,2850,179,2754,20153,96
Year 2009-2010,2010-10-19,2298,99,2256,27275,42
Year 2009-2010,2010-10-20,2491,122,2468,24232,23
Year 2009-2010,2010-10-21,2183,120,2138,17965,45
Year 2009-2010,2010-10-22,2266,144,2127,23414,139
Year 2009-2010,2010-10-24,2393,86,2386,15607,7
Year 2009-2010,2010-10-25,1940,106,1895,14785,45
Year 2009-2010,2010-10-26,2548,133,2494,26045,54
Year 2009-2010,2010-10-27,1838,81,1832,16260,6
Year 2009-2010,2010-10-28,1650,114,1576,14371,74
Year 2009-2010,2010-10-29,1951,90,1934,25638,17
Year 2009-2010,2010-10-31,2690,88,2682,16564,8
Year 2009-2010,2010-11-01,2238,108,2165,14511,73
Year 2009-2010,2010-11-02,2368,179,2244,24850,124
Year 2009-2010,2010-11-03,2109,146,2039,24755,70
Year 2009-2010,2010-11-04,3748,219,3627,60591,121
Year 2009-2010,2010-11-05,2010,149,1931,23038,79
Year 2009-2010,2010-11-07,2825,90,2812,18700,13
Year 2009-2010,2010-11-08,2638,124,2609,33132,29
Year 2009-2010,2010-11-09,2917,152,2829,36027,88
Year 2009-2010,2010-11-10,3640,152,3599,35310,41
Year 2009-2010,2010-11-11,3303,192,3212,34950,91
Year 2009-2010,2010-11-12,3065,120,3054,23251,11
Year 2009-2010,2010-11-14,2913,94,2908,17601,5
Year 2009-2010,2010-11-15,3772,133,3741,38200,31
Year 2009-2010,2010-11-16,3361,154,3286,39622,75
Year 2009-2010,2010-11-17,2864,134,2840,28689,24
Year 2009-2010,2010-11-18,2909,122,2879,21452,30
Year 2009-2010,2010-11-19,2599,150,2516,25457,83
Year 2009-2010,2010-11-21,3258,102,3248,18205,10
Year 2009-2010,2010-11-22,3273,105,3256,19866,17
Year 2009-2010,2010-11-23,3651,174,3583,27119,68
Year 2009-2010,2010-11-24,3446,188,3347,28908,99
Year 2009-2010,2010-11-25,3522,181,3476,38204,46
Year 2009-2010,2010-11-26,2610,102,2595,17914,15
Year 2009-2010,2010-11-28,2609,104,2586,16568,23
Year 2009-2010,2010-11-29,3951,125,3921,40165,30
Year 2009-2010,2010-11-30,2416,170,2293,26620,123
Year 2009-2010,2010-12-01,3108,143,3081,27007,27
Year 2009-2010,2010-12-02,2109,167,2064,31348,45
Year 2009-2010,2010-12-03,2202,108,2160,16471,42
Year 2009-2010,2010-12-05,2725,95,2709,16451,16
Year 2009-2010,2010-12-06,3878,133,3822,21951,56
Year 2009-2010,2010-12-07,2963,111,2921,25365,42
Year 2009-2010,2010-12-08,2647,148,2572,23125,75
Year 2009-2010,2010-12-09,2891,183,2801,20730,90
Year 2010-2011,2010-12-10,2758,91,2685,21155,73
Year 2010-2011,2010-12-12,1451,51,1439,10603,12
Year 2010-2011,2010-12-13,2283,84,2263,17727,20
Year 2010-2011,2010-12-14,2087,144,2010,20767,77
Year 2010-2011,2010-12-15,1349,98,1307,18493,42
Year 2010-2011,2010-12-16,1790,150,1751,29947,39
Year 2010-2011,2010-12-17,3115,72,3106,16959,9
Year 2010-2011,2010-12-19,522,25,518,3799,4
Year 2010-2011,2010-12-20,1763,96,1679,15793,84
Year 2010-2011,2010-12-21,1586,66,1565,15658,21
Year 2010-2011,2010-12-22,291,22,286,3213,5
Year 2010-2011,2010-12-23,963,38,944,5754,19
Year 2010-2011,2011-01-04,1184,57,1160,8678,24
Year 2010-2011,2011-01-05,1743,76,1667,19806,76
Year 2010-2011,2011-01-06,1832,78,1769,23178,63
Year 2010-2011,2011-01-07,1794,58,1766,17160,28
Year 2010-2011,2011-01-09,1117,51,1098,8202,19
Year 2010-2011,2011-01-10,1976,61,1956,13091,20
Year 2010-2011,2011-01-11,1454,84,1405,29458,49
Year 2010-2011,2011-01-12,1809,62,1784,10623,25
Year 2010-2011,2011-01-13,1445,51,1434,10175,11
Year 2010-2011,2011-01-14,1510,56,1493,23149,17
Year 2010-2011,2011-01-16,646,29,642,4204,4
Year 2010-2011,2011-01-17,2557,55,2551,13397,6
Year 2010-2011,2011-01-18,1447,51,1428,82978,19
Year 2010-2011,2011-01-19,1416,43,1407,17387,9
Year 2010-2011,2011-01-20,1502,54,1478,10497,24
Year 2010-2011,2011-01-21,1594,64,1532,15305,62
Year 2010-2011,2011-01-23,879,30,860,5241,19
Year 2010-2011,2011-01-24,1485,61,1472,12029,13
Year 2010-2011,2011-01-25,1654,86,1600,15614,54
Year 2010-2011,2011-01-26,1289,71,1257,10976,32
Year 2010-2011,2011-01-27,1575,88,1497,11577,78
Year 2010-2011,2011-01-28,1008,100,907,18145,101
Year 2010-2011,2011-01-30,722,25,714,3431,8
Year 2010-2011,2011-01-31,1509,85,1473,13415,36
Year 2010-2011,2011-02-01,1574,86,1530,15851,44
Year 2010-2011,2011-02-02,1411,74,1399,9732,12
Year 2010-2011,2011-02-03,989,53,980,16999,9
Year 2010-2011,2011-02-04,1232,75,1208,14077,24
Year 2010-2011,2011-02-06,279,11,279,2048,0
Year 2010-2011,2011-02-07,1261,53,1229,9143,32
Year 2010-2011,2011-02-08,1228,58,1203,10254,25
Year 2010-2011,2011-02-09,879,31,877,7165,2
Year 2010-2011,2011-02-10,785,66,722,11909,63
Year 2010-2011,2011-02-11,957,95,869,10549,88
Year 2010-2011,2011-02-13,624,24,609,2756,15
Year 2010-2011,2011-02-14,1108,55,1087,13595,21
Year 2010-2011,2011-02-15,1335,70,1315,22720,20
Year 2010-2011,2011-02-16,1191,69,1184,16156,7
Year 2010-2011,2011-02-17,1719,73,1715,14548,4
Year 2010-2011,2011-02-18,854,67,821,9246,33
Year 2010-2011,2011-02-20,864,29,859,5353,5
Year 2010-2011,2011-02-21,1425,59,1376,21589,49
Year 2010-2011,2011-02-22,1593,64,1568,21902,25
Year 2010-2011,2011-02-23,1578,68,1571,13767,7
Year 2010-2011,2011-02-24,1294,66,1270,11896,24
Year 2010-2011,2011-02-25,978,51,970,10573,8
Year 2010-2011,2011-02-27,812,35,810,4870,2
Year 2010-2011,2011-02-28,1737,61,1733,9997,4
Year 2010-2011,2011-03-01,1361,67,1354,12145,7
Year 2010-2011,2011-03-02,935,67,891,8617,44
Year 2010-2011,2011-03-03,1389,85,1339,20163,50
Year 2010-2011,2011-03-04,1107,56,1101,13779,6
Year 2010-2011,2011-03-06,844,35,822,5049,22
Year 2010-2011,2011-03-07,1971,107,1908,14064,63
Year 2010-2011,2011-03-08,1600,61,1584,14571,16
Year 2010-2011,2011-03-09,1277,79,1246,15182,31
Year 2010-2011,2011-03-10,1131,90,1085,16515,46
Year 2010-2011,2011-03-11,959,66,944,10870,15
Year 2010-2011,2011-03-13,537,17,534,2749,3
Year 2010-2011,2011-03-14,1111,61,1091,16765,20
Year 2010-2011,2011-03-15,1292,65,1279,9080,13
Year 2010-2011,2011-03-16,874,59,863,12947,11
Year 2010-2011,2011-03-17,2074,88,2017,21002,57
Year 2010-2011,2011-03-18,1379,76,1339,14052,40
Year 2010-2011,2011-03-20,1453,64,1444,14195,9
Year 2010-2011,2011-03-21,1068,69,1040,10311,28
Year 2010-2011,2011-03-22,2384,83,2355,16664,29
Year 2010-2011,2011-03-23,1319,88,1303,14462,16
Year 2010-2011,2011-03-24,1577,95,1549,18569,28
Year 2010-2011,2011-03-25,1386,67,1342,14179,44
Year 2010-2011,2011-03-27,737,46,715,4530,22
Year 2010-2011,2011-03-28,1672,85,1644,13526,28
Year 2010-2011,2011-03-29,1983,95,1946,32916,37
Year 2010-2011,2011-03-30,1590,118,1541,21132,49
Year 2010-2011,2011-03-31,1738,94,1639,16916,99
Year 2010-2011,2011-04-01,1261,107,1228,18564,33
Year 2010-2011,2011-04-03,731,22,725,5679,6
Year 2010-2011,2011-04-04,1705,81,1657,14015,48
Year 2010-2011,2011-04-05,1215,96,1140,16056,75
Year 2010-2011,2011-04-06,1122,89,1081,9524,41
Year 2010-2011,2011-04-07,1527,81,1500,10545,27
Year 2010-2011,2011-04-08,1441,136,1382,13219,59
Year 2010-2011,2011-04-10,940,37,933,5632,7
Year 2010-2011,2011-04-11,1259,74,1223,13640,36
Year 2010-2011,2011-04-12,1152,81,1111,15341,41
Year 2010-2011,2011-04-13,1052,79,1021,18769,31
Year 2010-2011,2011-04-14,1608,109,1548,18878,60
Year 2010-2011,2011-04-15,1483,57,1480,12729,3
Year 2010-2011,2011-04-17,968,44,966,8183,2
Year 2010-2011,2011-04-18,3208,96,3134,31494,74
Year 2010-2011,2011-04-19,1887,75,1860,14482,27
Year 2010-2011,2011-04-20,1025,89,992,18390,33
Year 2010-2011,2011-04-21,1930,112,1914,18394,16
Year 2010-2011,2011-04-26,1903,86,1866,16173,37
Year 2010-2011,2011-04-27,1307,92,1276,18627,31
Year 2010-2011,2011-04-28,1192,101,1134,13842,58
Year 2010-2011,2011-05-01,452,21,448,3819,4
Year 2010-2011,2011-05-03,1449,126,1376,12606,73
Year 2010-2011,2011-05-04,1161,77,1143,17385,18
Year 2010-2011,2011-05-05,1838,110,1801,17483,37
Year 2010-2011,2011-05-06,2051,113,2019,20424,32
Year 2010-2011,2011-05-08,1506,67,1500,10702,6
Year 2010-2011,2011-05-09,1766,84,1751,13359,15
Year 2010-2011,2011-05-10,2586,116,2532,19802,54
Year 2010-2011,2011-05-11,1701,97,1662,18913,39
Year 2010-2011,2011-05-12,1965,106,1928,37833,37
Year 2010-2011,2011-05-13,1425,77,1419,15247,6
Year 2010-2011,2011-05-15,809,31,809,4898,0
Year 2010-2011,2011-05-16,1609,87,1585,16020,24
Year 2010-2011,2011-05-17,1932,121,1874,27143,58
Year 2010-2011,2011-05-18,1366,89,1349,19073,17
Year 2010-2011,2011-05-19,1949,124,1891,18347,58
Year 2010-2011,2011-05-20,1129,90,1106,15504,23
Year 2010-2011,2011-05-22,1564,62,1553,12749,11
Year 2010-2011,2011-05-23,1646,122,1567,18231,79
Year 2010-2011,2011-05-24,1750,101,1701,15991,49
Year 2010-2011,2011-05-25,1322,91,1297,14638,25
Year 2010-2011,2011-05-26,971,78,950,16349,21
Year 2010-2011,2011-05-27,1170,85,1134,17022,36
Year 2010-2011,2011-05-29,632,25,630,4124,2
Year 2010-2011,2011-05-31,1281,62,1267,11763,14
Year 2010-2011,2011-06-01,1456,65,1418,10990,38
Year 2010-2011,2011-06-02,1588,86,1541,14657,47
Year 2010-2011,2011-06-03,858,53,848,7691,10
Year 2010-2011,2011-06-05,1561,70,1555,13501,6
Year 2010-2011,2011-06-06,1229,73,1175,9462,54
Year 2010-2011,2011-06-07,1926,98,1891,18768,35
Year 2010-2011,2011-06-08,2327,113,2297,21284,30
Year 2010-2011,2011-06-09,1850,110,1819,32363,31
Year 2010-2011,2011-06-10,1067,92,1024,11043,43
Year 2010-2011,2011-06-12,1075,40,1068,9491,7
Year 2010-2011,2011-06-13,1472,87,1404,11302,68
Year 2010-2011,2011-06-14,1587,66,1574,14624,13
Year 2010-2011,2011-06-15,1718,90,1683,30720,35
Year 2010-2011,2011-06-16,1534,107,1503,20315,31
Year 2010-2011,2011-06-17,961,62,942,11764,19
Year 2010-2011,2011-06-19,1167,64,1157,15081,10
Year 2010-2011,2011-06-20,2020,102,1978,16734,42
Year 2010-2011,2011-06-21,1538,85,1453,14275,85
Year 2010-2011,2011-06-22,1017,68,1008,15840,9
Year 2010-2011,2011-06-23,1973,90,1948,14739,25
Year 2010-2011,2011-06-24,1039,63,1024,9985,15
Year 2010-2011,2011-06-26,708,36,667,3786,41
Year 2010-2011,2011-06-27,1182,61,1156,9918,26
Year 2010-2011,2011-06-28,1043,84,999,21934,44
Year 2010-2011,2011-06-29,1358,67,1315,12111,43
Year 2010-2011,2011-06-30,1620,80,1609,21959,11
Year 2010-2011,2011-07-01,1027,70,978,7813,49
Year 2010-2011,2011-07-03,602,27,598,3117,4
Year 2010-2011,2011-07-04,2200,64,2185,15736,15
Year 2010-2011,2011-07-05,2202,88,2175,22131,27
Year 2010-2011,2011-07-06,1816,77,1795,19323,21
Year 2010-2011,2011-07-07,1940,93,1896,19803,44
Year 2010-2011,2011-07-08,1630,93,1579,12738,51
Year 2010-2011,2011-07-10,820,29,815,4255,5
Year 2010-2011,2011-07-11,1515,68,1490,15177,25
Year 2010-2011,2011-07-12,1667,66,1646,13981,21
Year 2010-2011,2011-07-13,1618,66,1610,16300,8
Year 2010-2011,2011-07-14,1734,91,1663,20881,71
Year 2010-2011,2011-07-15,1136,62,1118,7405,18
Year 2010-2011,2011-07-17,1248,53,1246,11044,2
Year 2010-2011,2011-07-18,2234,107,2167,15305,67
Year 2010-2011,2011-07-19,1667,88,1576,29349,91
Year 2010-2011,2011-07-20,2015,75,1993,17737,22
Year 2010-2011,2011-07-21,1570,106,1494,20091,76
