source_date,lines,units,orders
2009-12-02,9,98,1
2009-12-02,9,116,1
2009-12-02,9,515,1
2009-12-02,10,17,1
2009-12-02,10,349,1
2009-12-02,11,106,1
2009-12-02,11,183,1
2009-12-02,12,45,1
2009-12-02,12,113,1
2009-12-02,12,144,1
2009-12-02,13,287,1
2009-12-02,13,465,1
2009-12-02,14,82,1
2009-12-02,14,102,1
2009-12-02,14,248,1
2009-12-02,15,121,1
2009-12-02,16,124,1
2009-12-02,16,185,1
2009-12-02,17,27,1
2009-12-02,17,38,1
2009-12-02,17,82,1
2009-12-02,17,266,1
2009-12-02,18,21,1
2009-12-02,18,22,1
2009-12-02,18,53,1
2009-12-02,19,268,1
2009-12-02,20,97,1
2009-12-02,20,113,1
2009-12-02,20,250,1
2009-12-02,20,3200,1
2009-12-02,22,148,1
2009-12-02,22,320,1
2009-12-02,22,552,1
2009-12-02,22,1930,1
2009-12-02,23,382,1
2009-12-02,24,79,1
2009-12-02,25,85,1
2009-12-02,25,238,1
2009-12-02,26,142,1
2009-12-02,26,165,1
2009-12-02,26,260,1
2009-12-02,26,660,1
2009-12-02,26,1339,1
2009-12-02,27,258,1
2009-12-02,27,396,1
2009-12-02,28,241,1
2009-12-02,29,56,1
2009-12-02,30,2020,1
2009-12-02,32,421,1
2009-12-02,32,532,1
2009-12-02,33,320,1
2009-12-02,38,56,1
2009-12-02,41,91,1
2009-12-02,42,280,1
2009-12-02,44,127,1
2009-12-02,44,138,1
2009-12-02,44,199,1
2009-12-02,45,156,1
2009-12-02,46,90,1
2009-12-02,46,227,1
2009-12-02,46,721,1
2009-12-02,47,274,1
2009-12-02,54,103,1
2009-12-02,55,122,1
2009-12-02,58,165,1
2009-12-02,65,90,1
2009-12-02,69,242,1
2009-12-02,74,127,1
2009-12-02,89,506,1
2009-12-02,95,219,1
2009-12-02,120,587,1
2009-12-02,425,816,1
2009-12-02,515,1225,1
2009-12-03,1,2,1
2009-12-03,1,12,1
2009-12-03,1,40,1
2009-12-03,1,75,1
2009-12-03,1,252,1
2009-12-03,1,288,1
2009-12-03,1,432,1
2009-12-03,1,480,1
2009-12-03,1,504,1
2009-12-03,1,600,2
2009-12-03,2,2,1
2009-12-03,2,12,1
2009-12-03,2,13,1
2009-12-03,2,27,1
2009-12-03,2,31,1
2009-12-03,2,36,1
2009-12-03,2,94,1
2009-12-03,3,14,1
2009-12-03,3,16,1
2009-12-03,3,24,1
2009-12-03,4,18,1
2009-12-03,4,48,1
2009-12-03,4,49,1
2009-12-03,4,84,1
2009-12-03,4,96,1
2009-12-03,4,142,1
2009-12-03,4,2000,1
2009-12-03,4,17520,1
2009-12-03,5,60,1
2009-12-03,5,68,1
2009-12-03,5,444,1
2009-12-03,5,514,1
2009-12-03,6,41,1
2009-12-03,6,48,1
2009-12-03,6,65,1
2009-12-03,7,66,1
2009-12-03,7,72,1
2009-12-03,7,186,1
2009-12-03,7,212,1
2009-12-03,7,262,1
2009-12-03,8,30,1
2009-12-03,8,86,1
2009-12-03,9,90,1
2009-12-03,9,109,1
2009-12-03,9,212,1
2009-12-03,9,224,1
2009-12-03,9,4825,1
2009-12-03,10,85,1
2009-12-03,11,16,1
2009-12-03,11,30,1
2009-12-03,11,104,1
2009-12-03,11,150,1
2009-12-03,12,54,1
2009-12-03,12,89,2
2009-12-03,12,163,1
2009-12-03,12,316,1
2009-12-03,13,79,1
2009-12-03,13,150,1
2009-12-03,13,172,1
2009-12-03,13,176,1
2009-12-03,14,156,1
2009-12-03,14,198,1
2009-12-03,15,108,1
2009-12-03,15,116,1
2009-12-03,15,126,1
2009-12-03,16,56,1
2009-12-03,16,428,1
2009-12-03,17,25,1
2009-12-03,17,101,1
2009-12-03,17,148,1
2009-12-03,18,95,1
2009-12-03,18,127,1
2009-12-03,19,111,1
2009-12-03,19,150,1
2009-12-03,19,215,1
2009-12-03,19,242,1
2009-12-03,19,253,1
2009-12-03,20,161,1
2009-12-03,20,184,1
2009-12-03,20,204,1
2009-12-03,20,227,1
2009-12-03,20,275,1
2009-12-03,20,323,1
2009-12-03,21,104,1
2009-12-03,22,109,1
2009-12-03,22,160,1
2009-12-03,22,266,1
2009-12-03,23,297,1
2009-12-03,24,412,1
2009-12-03,25,59,1
2009-12-03,25,203,1
2009-12-03,27,339,1
2009-12-03,28,115,1
2009-12-03,28,131,1
2009-12-03,29,159,1
2009-12-03,29,508,1
2009-12-03,30,71,1
2009-12-03,31,100,1
2009-12-03,31,221,1
2009-12-03,32,65,1
2009-12-03,32,202,1
2009-12-03,33,395,1
2009-12-03,35,681,1
2009-12-03,36,146,1
2009-12-03,41,71,1
2009-12-03,42,408,1
2009-12-03,43,138,1
2009-12-03,43,227,1
2009-12-03,44,107,1
2009-12-03,47,151,1
2009-12-03,49,121,1
2009-12-03,51,668,1
2009-12-03,52,117,1
2009-12-03,58,578,1
2009-12-03,61,1132,1
2009-12-03,64,257,1
2009-12-03,64,896,1
2009-12-03,74,526,1
2009-12-03,83,403,1
2009-12-03,93,407,1
2009-12-03,99,267,1
2009-12-03,579,1199,1
2009-12-04,1,1,2
2009-12-04,1,10,1
2009-12-04,1,24,1
2009-12-04,1,40,1
2009-12-04,1,96,1
2009-12-04,2,2,1
2009-12-04,2,4,1
2009-12-04,2,320,1
2009-12-04,2,600,1
2009-12-04,3,4,1
2009-12-04,3,9,1
2009-12-04,3,48,1
2009-12-04,3,112,1
2009-12-04,4,4,1
2009-12-04,4,5,1
2009-12-04,4,42,1
2009-12-04,4,96,1
2009-12-04,4,287,1
2009-12-04,5,32,1
2009-12-04,5,484,1
2009-12-04,6,49,1
2009-12-04,6,262,1
2009-12-04,7,43,1
2009-12-04,7,55,1
2009-12-04,7,63,1
2009-12-04,7,210,1
2009-12-04,8,50,1
2009-12-04,8,68,1
2009-12-04,8,241,1
2009-12-04,8,472,1
2009-12-04,9,93,1
2009-12-04,9,103,1
2009-12-04,9,1327,1
2009-12-04,10,62,1
2009-12-04,10,85,1
2009-12-04,10,600,1
2009-12-04,11,208,1
2009-12-04,12,41,1
2009-12-04,12,175,1
2009-12-04,14,22,1
2009-12-04,14,117,1
2009-12-04,14,130,1
2009-12-04,14,218,1
2009-12-04,14,328,1
2009-12-04,14,356,1
2009-12-04,16,85,1
2009-12-04,16,148,1
2009-12-04,16,156,1
2009-12-04,16,500,1
2009-12-04,17,115,1
2009-12-04,18,152,1
2009-12-04,18,158,1
2009-12-04,19,270,1
2009-12-04,20,143,1
2009-12-04,20,188,1
2009-12-04,20,201,1
2009-12-04,21,34,1
2009-12-04,21,278,1
2009-12-04,22,201,1
2009-12-04,26,206,1
2009-12-04,28,231,1
2009-12-04,33,289,1
2009-12-04,34,713,1
2009-12-04,37,203,1
2009-12-04,38,173,1
2009-12-04,39,439,1
2009-12-04,40,954,1
2009-12-04,41,632,1
2009-12-04,44,193,1
2009-12-04,44,445,1
2009-12-04,46,339,1
2009-12-04,47,363,1
2009-12-04,49,111,1
2009-12-04,53,147,1
2009-12-04,53,213,1
2009-12-04,59,115,1
2009-12-04,59,273,1
2009-12-04,59,653,1
2009-12-04,61,298,1
2009-12-04,61,352,1
2009-12-04,62,157,1
2009-12-04,65,201,1
2009-12-04,69,128,1
2009-12-04,76,1687,1
2009-12-04,83,164,1
2009-12-04,93,187,1
2009-12-04,558,1213,1
2009-12-05,1,12,1
2009-12-05,1,192,1
2009-12-05,2,8,1
2009-12-05,2,18,1
2009-12-05,4,44,1
2009-12-05,4,50,1
2009-12-05,5,120,1
2009-12-05,5,348,1
2009-12-05,6,25,1
2009-12-05,7,141,1
2009-12-05,8,104,1
2009-12-05,9,56,1
2009-12-05,9,65,1
2009-12-05,9,84,1
2009-12-05,11,100,1
2009-12-05,14,147,1
2009-12-05,14,185,1
2009-12-05,15,95,1
2009-12-05,15,134,1
2009-12-05,18,130,1
2009-12-05,18,142,1
2009-12-05,18,146,1
2009-12-05,18,260,1
2009-12-05,19,281,1
2009-12-05,20,185,1
2009-12-05,24,389,1
2009-12-05,26,177,1
2009-12-05,32,397,1
2009-12-05,33,473,1
2009-12-05,33,611,1
2009-12-06,1,3,1
2009-12-06,1,72,1
2009-12-06,2,5,1
2009-12-06,3,98,1
2009-12-06,4,44,1
2009-12-06,5,7,1
2009-12-06,5,56,1
2009-12-06,6,24,1
2009-12-06,6,85,1
2009-12-06,8,50,1
2009-12-06,8,56,1
2009-12-06,9,38,1
2009-12-06,10,28,1
2009-12-06,10,105,1
2009-12-06,11,32,1
2009-12-06,11,47,1
2009-12-06,11,92,1
2009-12-06,12,164,1
2009-12-06,12,165,1
2009-12-06,13,49,1
2009-12-06,13,83,1
2009-12-06,13,89,1
2009-12-06,14,28,1
2009-12-06,15,77,1
2009-12-06,15,95,1
2009-12-06,15,102,1
2009-12-06,15,128,1
2009-12-06,16,34,1
2009-12-06,16,43,1
2009-12-06,16,290,1
2009-12-06,17,63,1
2009-12-06,17,140,1
2009-12-06,18,130,1
2009-12-06,18,146,1
2009-12-06,18,158,1
2009-12-06,18,208,1
2009-12-06,19,26,1
2009-12-06,21,57,1
2009-12-06,21,356,1
2009-12-06,22,384,1
2009-12-06,23,33,1
2009-12-06,23,115,1
2009-12-06,24,47,1
2009-12-06,24,79,1
2009-12-06,24,87,1
2009-12-06,24,234,1
2009-12-06,25,95,1
2009-12-06,25,185,1
2009-12-06,26,51,1
2009-12-06,27,147,1
2009-12-06,28,315,1
2009-12-06,29,71,1
2009-12-06,29,236,1
2009-12-06,30,340,1
2009-12-06,32,424,1
2009-12-06,33,188,1
2009-12-06,33,503,1
2009-12-06,35,336,1
2009-12-06,35,778,1
2009-12-06,40,241,1
2009-12-06,42,129,1
2009-12-06,44,169,1
2009-12-06,45,235,1
2009-12-06,48,127,1
2009-12-06,49,166,1
2009-12-06,49,183,1
2009-12-06,51,85,1
2009-12-06,52,336,1
2009-12-06,54,416,1
2009-12-06,55,85,1
2009-12-06,69,478,1
2009-12-06,86,313,1
2009-12-06,94,150,1
2009-12-06,116,381,1
2009-12-07,1,1,3
2009-12-07,1,4,1
2009-12-07,1,10,1
2009-12-07,1,14,1
2009-12-07,1,72,1
2009-12-07,1,96,1
2009-12-07,1,144,1
2009-12-07,2,3,1
2009-12-07,2,22,1
2009-12-07,2,60,1
2009-12-07,2,80,1
2009-12-07,2,504,1
2009-12-07,3,6,1
2009-12-07,3,30,1
2009-12-07,3,58,1
2009-12-07,3,90,1
2009-12-07,3,288,1
2009-12-07,4,58,1
2009-12-07,4,62,1
2009-12-07,4,66,1
2009-12-07,4,308,1
2009-12-07,5,84,1
2009-12-07,5,85,1
2009-12-07,6,68,1
2009-12-07,6,128,1
2009-12-07,6,199,1
2009-12-07,7,62,1
2009-12-07,7,108,1
2009-12-07,8,16,1
2009-12-07,8,76,1
2009-12-07,8,156,1
2009-12-07,8,612,1
2009-12-07,9,105,1
2009-12-07,9,106,1
2009-12-07,9,122,1
2009-12-07,10,71,1
2009-12-07,10,78,1
2009-12-07,10,100,1
2009-12-07,10,125,1
2009-12-07,11,63,1
2009-12-07,11,236,1
2009-12-07,11,396,1
2009-12-07,12,88,1
2009-12-07,12,93,1
2009-12-07,12,135,1
2009-12-07,12,306,1
2009-12-07,13,95,1
2009-12-07,13,188,1
2009-12-07,14,88,1
2009-12-07,14,106,1
2009-12-07,14,112,1
2009-12-07,15,98,1
2009-12-07,15,150,1
2009-12-07,15,264,1
2009-12-07,15,304,1
2009-12-07,16,40,1
2009-12-07,16,70,1
2009-12-07,16,112,2
2009-12-07,16,149,1
2009-12-07,16,218,1
2009-12-07,17,96,1
2009-12-07,17,122,1
2009-12-07,18,133,1
2009-12-07,18,146,2
2009-12-07,18,182,1
2009-12-07,19,119,1
2009-12-07,20,100,1
2009-12-07,20,179,1
2009-12-07,20,203,1
2009-12-07,21,245,1
2009-12-07,21,318,1
2009-12-07,22,408,1
2009-12-07,24,315,1
2009-12-07,25,217,1
2009-12-07,27,119,1
2009-12-07,27,198,1
2009-12-07,28,372,1
2009-12-07,30,68,1
2009-12-07,31,74,1
2009-12-07,37,148,1
2009-12-07,39,146,1
2009-12-07,40,325,1
2009-12-07,41,441,1
2009-12-07,42,331,1
2009-12-07,43,209,1
2009-12-07,44,65,1
2009-12-07,44,164,1
2009-12-07,46,166,1
2009-12-07,47,335,1
2009-12-07,50,121,1
2009-12-07,56,97,1
2009-12-07,60,127,1
2009-12-07,73,148,1
2009-12-07,76,442,1
2009-12-07,90,1037,1
2009-12-07,506,1040,1
2009-12-07,545,1235,1
2009-12-08,1,1,4
2009-12-08,1,2,1
2009-12-08,1,8,1
2009-12-08,1,10,1
2009-12-08,1,12,2
2009-12-08,1,30,1
2009-12-08,1,48,3
2009-12-08,1,96,1
2009-12-08,1,400,1
2009-12-08,2,2,1
2009-12-08,2,4,1
2009-12-08,2,12,1
2009-12-08,2,48,1
2009-12-08,2,216,1
2009-12-08,2,400,1
2009-12-08,2,984,1
2009-12-08,3,3,1
2009-12-08,3,36,1
2009-12-08,3,48,1
2009-12-08,3,128,1
2009-12-08,3,180,1
2009-12-08,3,192,1
2009-12-08,4,4,1
2009-12-08,4,9,1
2009-12-08,4,430,1
2009-12-08,5,96,1
2009-12-08,6,84,1
2009-12-08,6,120,1
2009-12-08,6,144,1
2009-12-08,6,148,1
2009-12-08,6,1392,1
2009-12-08,7,87,1
2009-12-08,8,90,1
2009-12-08,8,174,1
2009-12-08,8,213,1
2009-12-08,8,276,1
2009-12-08,8,888,1
2009-12-08,9,89,1
2009-12-08,9,162,1
2009-12-08,9,224,1
2009-12-08,9,371,1
2009-12-08,10,90,1
2009-12-08,10,107,1
2009-12-08,10,174,1
2009-12-08,10,268,1
2009-12-08,10,272,1
2009-12-08,10,288,1
2009-12-08,11,216,1
2009-12-08,12,74,1
2009-12-08,12,76,1
2009-12-08,12,94,1
2009-12-08,13,22,1
2009-12-08,13,59,1
2009-12-08,13,226,1
2009-12-08,13,231,1
2009-12-08,13,241,1
2009-12-08,14,22,1
2009-12-08,14,277,1
2009-12-08,15,21,1
2009-12-08,15,65,1
2009-12-08,15,103,2
2009-12-08,15,136,1
2009-12-08,16,123,1
2009-12-08,16,320,1
2009-12-08,17,246,1
2009-12-08,17,309,1
2009-12-08,18,130,1
2009-12-08,18,170,1
2009-12-08,20,138,1
2009-12-08,20,221,1
2009-12-08,21,168,1
2009-12-08,22,215,1
2009-12-08,22,282,1
2009-12-08,22,315,1
2009-12-08,23,208,1
2009-12-08,23,413,1
2009-12-08,25,91,1
2009-12-08,26,91,1
2009-12-08,26,273,1
2009-12-08,27,285,1
2009-12-08,28,255,1
2009-12-08,32,101,1
2009-12-08,33,139,1
2009-12-08,33,319,1
2009-12-08,34,140,1
2009-12-08,36,122,1
2009-12-08,42,326,1
2009-12-08,47,473,1
2009-12-08,49,145,1
2009-12-08,50,50,1
2009-12-08,53,461,1
2009-12-08,56,762,1
2009-12-08,57,428,1
2009-12-08,61,190,1
2009-12-08,69,105,1
2009-12-08,75,1376,1
2009-12-08,153,1749,1
2009-12-08,441,883,1
2009-12-09,1,1,2
2009-12-09,1,2,1
2009-12-09,1,3,1
2009-12-09,1,8,1
2009-12-09,1,1500,1
2009-12-09,2,6,1
2009-12-09,2,12,1
2009-12-09,2,24,1
2009-12-09,2,52,1
2009-12-09,2,72,1
2009-12-09,2,174,1
2009-12-09,3,3,1
2009-12-09,3,15,1
2009-12-09,3,80,1
2009-12-09,4,14,1
2009-12-09,4,75,1
2009-12-09,4,338,1
2009-12-09,5,5,2
2009-12-09,5,28,1
2009-12-09,5,60,1
2009-12-09,5,106,1
2009-12-09,5,324,1
2009-12-09,6,12,1
2009-12-09,6,44,1
2009-12-09,6,64,1
2009-12-09,6,111,1
2009-12-09,7,44,1
2009-12-09,7,72,1
2009-12-09,7,322,1
2009-12-09,8,20,1
2009-12-09,8,46,1
2009-12-09,8,108,1
2009-12-09,8,112,1
2009-12-09,9,65,1
2009-12-09,9,68,1
2009-12-09,9,85,1
2009-12-09,9,174,1
2009-12-09,10,122,1
2009-12-09,11,11,1
2009-12-09,11,68,1
2009-12-09,11,358,1
2009-12-09,12,81,1
2009-12-09,12,123,1
2009-12-09,13,94,1
2009-12-09,13,139,1
2009-12-09,13,193,1
2009-12-09,13,504,1
2009-12-09,14,64,1
2009-12-09,14,424,1
2009-12-09,15,102,1
2009-12-09,15,678,1
2009-12-09,16,74,1
2009-12-09,17,171,1
2009-12-09,17,362,1
2009-12-09,18,81,1
2009-12-09,19,228,1
2009-12-09,19,410,1
2009-12-09,19,418,1
2009-12-09,20,194,1
2009-12-09,21,137,1
2009-12-09,21,274,1
2009-12-09,21,412,1
2009-12-09,22,104,1
2009-12-09,22,262,1
2009-12-09,23,67,1
2009-12-09,23,172,1
2009-12-09,24,261,1
2009-12-09,29,108,1
2009-12-09,32,143,1
2009-12-09,33,216,1
2009-12-09,36,185,1
2009-12-09,39,143,1
2009-12-09,39,218,1
2009-12-09,40,545,1
2009-12-09,41,150,1
2009-12-09,42,1544,1
2009-12-09,47,384,1
2009-12-09,50,69,1
2009-12-09,51,267,1
2009-12-09,51,351,1
2009-12-09,67,164,1
2009-12-09,72,373,1
2009-12-09,122,431,1
2009-12-09,476,877,1
2009-12-09,481,918,1
2009-12-10,1,1,1
2009-12-10,1,10,1
2009-12-10,1,24,1
2009-12-10,1,48,1
2009-12-10,1,100,1
2009-12-10,1,216,1
2009-12-10,2,2,2
2009-12-10,2,3,1
2009-12-10,2,34,1
2009-12-10,2,96,1
2009-12-10,2,108,1
2009-12-10,3,3,1
2009-12-10,3,37,1
2009-12-10,4,114,1
2009-12-10,4,140,1
2009-12-10,5,50,1
2009-12-10,5,59,1
2009-12-10,5,102,1
2009-12-10,6,27,1
2009-12-10,6,124,1
2009-12-10,6,240,1
2009-12-10,6,270,1
2009-12-10,6,924,1
2009-12-10,7,25,1
2009-12-10,8,38,1
2009-12-10,8,72,1
2009-12-10,8,124,1
2009-12-10,8,260,1
2009-12-10,9,169,1
2009-12-10,9,360,1
2009-12-10,10,97,1
2009-12-10,10,114,1
2009-12-10,10,182,1
2009-12-10,10,450,1
2009-12-10,11,110,1
2009-12-10,12,73,1
2009-12-10,12,97,1
2009-12-10,12,133,1
2009-12-10,12,352,1
2009-12-10,13,29,1
2009-12-10,13,182,1
2009-12-10,13,270,1
2009-12-10,14,17,1
2009-12-10,14,35,1
2009-12-10,14,123,1
2009-12-10,14,375,1
2009-12-10,14,422,1
2009-12-10,15,56,1
2009-12-10,15,644,1
2009-12-10,16,147,1
2009-12-10,16,193,1
2009-12-10,17,1448,1
2009-12-10,18,146,1
2009-12-10,20,28,1
2009-12-10,20,84,1
2009-12-10,21,55,1
2009-12-10,22,260,1
2009-12-10,22,376,1
2009-12-10,23,42,1
2009-12-10,23,78,1
2009-12-10,23,111,1
2009-12-10,23,143,1
2009-12-10,23,872,1
2009-12-10,26,2604,1
2009-12-10,27,67,1
2009-12-10,27,151,1
2009-12-10,32,139,1
2009-12-10,33,208,1
2009-12-10,33,687,1
2009-12-10,35,133,1
2009-12-10,35,415,1
2009-12-10,37,200,1
2009-12-10,37,275,1
2009-12-10,37,740,1
2009-12-10,39,45,1
2009-12-10,40,256,1
2009-12-10,44,934,1
2009-12-10,45,132,1
2009-12-10,45,331,1
2009-12-10,46,267,1
2009-12-10,49,156,1
2009-12-10,55,306,1
2009-12-10,56,520,1
2009-12-10,57,518,1
2009-12-10,58,194,1
2009-12-10,59,495,1
2009-12-10,67,741,1
2009-12-10,83,154,1
2009-12-10,140,485,1
2009-12-10,499,1036,1
2009-12-11,1,2,2
2009-12-11,1,6,1
2009-12-11,1,10,1
2009-12-11,1,24,1
2009-12-11,1,40,1
2009-12-11,1,96,1
2009-12-11,1,120,1
2009-12-11,1,400,1
2009-12-11,1,1080,1
2009-12-11,2,2,1
2009-12-11,2,4,1
2009-12-11,2,19,1
2009-12-11,3,3,1
2009-12-11,4,4,1
2009-12-11,4,60,1
2009-12-11,5,23,1
2009-12-11,6,146,1
2009-12-11,7,106,1
2009-12-11,7,110,1
2009-12-11,7,1200,1
2009-12-11,7,3672,1
2009-12-11,8,37,1
2009-12-11,8,188,1
2009-12-11,10,80,1
2009-12-11,10,109,1
2009-12-11,10,540,1
2009-12-11,12,135,1
2009-12-11,13,146,1
2009-12-11,13,211,1
2009-12-11,13,245,1
2009-12-11,13,438,1
2009-12-11,14,35,1
2009-12-11,14,380,1
2009-12-11,15,260,1
2009-12-11,16,27,1
2009-12-11,16,343,1
2009-12-11,16,358,1
2009-12-11,17,622,1
2009-12-11,17,1086,1
2009-12-11,18,77,1
2009-12-11,18,114,1
2009-12-11,18,195,1
2009-12-11,19,104,1
2009-12-11,20,378,1
2009-12-11,20,704,1
2009-12-11,21,542,1
2009-12-11,22,1946,1
2009-12-11,23,50,1
2009-12-11,24,523,1
2009-12-11,25,110,1
2009-12-11,25,277,1
2009-12-11,28,255,1
2009-12-11,29,200,1
2009-12-11,32,63,1
2009-12-11,33,70,1
2009-12-11,34,108,1
2009-12-11,34,520,1
2009-12-11,37,147,1
2009-12-11,38,161,1
2009-12-11,44,90,1
2009-12-11,45,308,1
2009-12-11,49,84,1
2009-12-11,50,625,1
2009-12-11,55,148,1
2009-12-11,57,152,1
2009-12-11,58,207,1
2009-12-11,64,289,1
2009-12-11,73,253,1
2009-12-11,125,325,1
2009-12-13,1,1,1
2009-12-13,1,2,1
2009-12-13,1,6,1
2009-12-13,1,10,1
2009-12-13,1,12,1
2009-12-13,1,48,1
2009-12-13,1,128,1
2009-12-13,2,96,1
2009-12-13,3,18,1
2009-12-13,3,33,1
2009-12-13,3,66,1
2009-12-13,3,123,1
2009-12-13,3,132,1
2009-12-13,6,84,1
2009-12-13,8,332,1
2009-12-13,10,41,1
2009-12-13,10,312,1
2009-12-13,11,31,1
2009-12-13,11,111,1
2009-12-13,11,147,1
2009-12-13,13,125,1
2009-12-13,13,135,1
2009-12-13,14,155,1
2009-12-13,14,230,1
2009-12-13,14,382,1
2009-12-13,15,86,1
2009-12-13,15,318,1
2009-12-13,15,384,1
2009-12-13,16,146,1
2009-12-13,16,188,1
2009-12-13,17,53,1
2009-12-13,18,93,1
2009-12-13,18,246,1
2009-12-13,19,30,1
2009-12-13,19,182,1
2009-12-13,20,71,1
2009-12-13,21,528,1
2009-12-13,23,328,1
2009-12-13,24,67,1
2009-12-13,24,229,1
2009-12-13,25,51,1
2009-12-13,26,121,1
2009-12-13,27,184,1
2009-12-13,28,170,1
2009-12-13,28,494,1
2009-12-13,31,90,1
2009-12-13,32,41,1
2009-12-13,33,285,1
2009-12-13,34,149,1
2009-12-13,35,68,1
2009-12-13,35,109,1
2009-12-13,36,299,1
2009-12-13,37,61,1
2009-12-13,37,274,1
2009-12-13,39,58,1
2009-12-13,39,451,1
2009-12-13,40,177,1
2009-12-13,43,217,1
2009-12-13,44,298,1
2009-12-13,45,215,1
2009-12-13,45,646,1
2009-12-13,45,651,1
2009-12-13,49,225,1
2009-12-13,51,137,1
2009-12-13,51,155,1
2009-12-13,53,62,1
2009-12-13,58,180,1
2009-12-13,60,283,1
2009-12-13,64,153,1
2009-12-13,64,253,1
2009-12-13,88,334,1
2009-12-14,1,1,1
2009-12-14,1,4,1
2009-12-14,1,12,1
2009-12-14,1,24,1
2009-12-14,1,96,1
2009-12-14,1,126,1
2009-12-14,1,468,1
2009-12-14,1,504,1
2009-12-14,2,4,1
2009-12-14,2,26,1
2009-12-14,2,48,1
2009-12-14,3,10,1
2009-12-14,4,7,1
2009-12-14,4,17,1
2009-12-14,4,21,1
2009-12-14,4,23,1
2009-12-14,4,40,1
2009-12-14,4,216,1
2009-12-14,5,17,1
2009-12-14,5,20,1
2009-12-14,6,13,1
2009-12-14,6,21,1
2009-12-14,6,34,1
2009-12-14,6,126,1
