source_sheet,planning_date,source_lines,distinct_invoice_ids,positive_quantity_lines,positive_units,nonpositive_quantity_lines
Year 2009-2010,2010-04-01,1719,113,1702,17629,17
Year 2009-2010,2010-04-06,1106,67,1089,13071,17
Year 2009-2010,2010-04-07,1385,72,1373,23559,12
Year 2009-2010,2010-04-08,2024,96,2000,26828,24
Year 2009-2010,2010-04-09,919,57,912,9151,7
Year 2009-2010,2010-04-11,1114,44,1111,11708,3
Year 2009-2010,2010-04-12,1012,86,948,12892,64
Year 2009-2010,2010-04-13,1318,92,1249,25951,69
Year 2009-2010,2010-04-14,1129,64,1093,16536,36
Year 2009-2010,2010-04-15,1162,89,1140,10784,22
Year 2009-2010,2010-04-16,869,48,855,14902,14
Year 2009-2010,2010-04-18,1457,57,1451,13032,6
Year 2009-2010,2010-04-19,3132,86,3111,22105,21
Year 2009-2010,2010-04-20,1540,78,1523,13543,17
Year 2009-2010,2010-04-21,1325,86,1315,13698,10
Year 2009-2010,2010-04-22,1549,132,1412,21600,137
Year 2009-2010,2010-04-23,1157,70,1136,10286,21
Year 2009-2010,2010-04-25,1339,50,1319,8463,20
Year 2009-2010,2010-04-26,1962,120,1938,19643,24
Year 2009-2010,2010-04-27,1686,106,1647,23629,39
Year 2009-2010,2010-04-28,1787,79,1777,19491,10
Year 2009-2010,2010-04-29,2058,106,2021,17376,37
Year 2009-2010,2010-04-30,1308,94,1234,21364,74
Year 2009-2010,2010-05-02,845,43,840,6307,5
Year 2009-2010,2010-05-04,1458,101,1399,11588,59
Year 2009-2010,2010-05-05,1591,117,1513,15756,78
Year 2009-2010,2010-05-06,2132,128,2060,31769,72
Year 2009-2010,2010-05-07,1365,88,1344,27062,21
Year 2009-2010,2010-05-09,1755,64,1749,11971,6
Year 2009-2010,2010-05-10,1702,120,1610,28536,92
Year 2009-2010,2010-05-11,1786,180,1687,18751,99
Year 2009-2010,2010-05-12,1316,138,1253,22257,63
Year 2009-2010,2010-05-13,1417,95,1335,27377,82
Year 2009-2010,2010-05-14,952,106,805,15075,147
Year 2009-2010,2010-05-16,1519,47,1496,11066,23
Year 2009-2010,2010-05-17,1489,146,1378,16187,111
Year 2009-2010,2010-05-18,1532,91,1488,24918,44
Year 2009-2010,2010-05-19,1247,80,1186,9859,61
Year 2009-2010,2010-05-20,1625,88,1592,16026,33
Year 2009-2010,2010-05-21,1362,125,1289,10393,73
Year 2009-2010,2010-05-23,1346,53,1327,14040,19
Year 2009-2010,2010-05-24,1432,98,1412,34691,20
Year 2009-2010,2010-05-25,1483,156,1382,15472,101
Year 2009-2010,2010-05-26,1841,119,1808,18942,33
Year 2009-2010,2010-05-27,2038,101,2023,18055,15
Year 2009-2010,2010-05-28,1286,99,1200,12979,86
Year 2009-2010,2010-05-30,804,35,795,6271,9
Year 2009-2010,2010-06-01,1224,54,1207,8350,17
Year 2009-2010,2010-06-02,964,54,955,12055,9
Year 2009-2010,2010-06-03,1725,114,1631,17634,94
Year 2009-2010,2010-06-04,1467,142,1387,8938,80
Year 2009-2010,2010-06-06,2220,76,2208,14188,12
Year 2009-2010,2010-06-07,2641,119,2614,29719,27
Year 2009-2010,2010-06-08,2096,123,2062,26442,34
Year 2009-2010,2010-06-09,1477,96,1424,25492,53
Year 2009-2010,2010-06-10,1069,100,1005,9739,64
Year 2009-2010,2010-06-11,1786,103,1748,21593,38
Year 2009-2010,2010-06-13,1474,78,1453,11180,21
Year 2009-2010,2010-06-14,1657,75,1589,16250,68
Year 2009-2010,2010-06-15,1568,80,1528,20535,40
Year 2009-2010,2010-06-16,1843,93,1823,19025,20
Year 2009-2010,2010-06-17,1797,100,1765,13554,32
Year 2009-2010,2010-06-18,975,67,953,9613,22
Year 2009-2010,2010-06-20,440,27,439,4496,1
Year 2009-2010,2010-06-21,1783,52,1779,12218,4
Year 2009-2010,2010-06-22,1007,46,1003,7005,4
Year 2009-2010,2010-06-23,1221,70,1219,16258,2
Year 2009-2010,2010-06-24,1607,118,1532,13968,75
Year 2009-2010,2010-06-25,1219,52,1216,8440,3
Year 2009-2010,2010-06-27,1283,62,1254,10918,29
Year 2009-2010,2010-06-28,1870,80,1827,34790,43
Year 2009-2010,2010-06-29,1628,89,1607,22063,21
Year 2009-2010,2010-06-30,1942,146,1822,21078,120
Year 2009-2010,2010-07-01,1858,99,1810,16537,48
Year 2009-2010,2010-07-02,1059,58,1041,8753,18
Year 2009-2010,2010-07-04,680,22,679,5345,1
Year 2009-2010,2010-07-05,1953,127,1897,16793,56
Year 2009-2010,2010-07-06,1108,63,1098,11965,10
Year 2009-2010,2010-07-07,1748,98,1725,14791,23
Year 2009-2010,2010-07-08,1348,100,1316,12226,32
Year 2009-2010,2010-07-09,916,54,888,14261,28
Year 2009-2010,2010-07-11,708,29,706,5848,2
Year 2009-2010,2010-07-12,1216,66,1200,9821,16
Year 2009-2010,2010-07-13,1155,63,1143,10078,12
Year 2009-2010,2010-07-14,1442,108,1362,14400,80
Year 2009-2010,2010-07-15,1596,104,1572,27942,24
Year 2009-2010,2010-07-16,1226,131,1146,32559,80
Year 2009-2010,2010-07-18,909,43,884,9690,25
Year 2009-2010,2010-07-19,1448,68,1434,18553,14
Year 2009-2010,2010-07-20,1183,64,1164,12136,19
Year 2009-2010,2010-07-21,1282,85,1222,13199,60
Year 2009-2010,2010-07-22,1618,105,1586,14184,32
Year 2009-2010,2010-07-23,1056,55,1033,13393,23
Year 2009-2010,2010-07-25,1277,59,1266,11648,11
Year 2009-2010,2010-07-26,1539,76,1474,15081,65
Year 2009-2010,2010-07-27,1046,83,1029,14327,17
Year 2009-2010,2010-07-28,1344,86,1312,13391,32
Year 2009-2010,2010-07-29,1905,101,1837,14245,68
Year 2009-2010,2010-07-30,763,70,737,8450,26
Year 2009-2010,2010-08-01,886,39,875,9740,11
Year 2009-2010,2010-08-02,1203,73,1189,12245,14
Year 2009-2010,2010-08-03,1542,85,1495,16346,47
Year 2009-2010,2010-08-04,1405,64,1387,11761,18
Year 2009-2010,2010-08-05,1366,73,1334,62492,32
Year 2009-2010,2010-08-06,581,59,561,9933,20
Year 2009-2010,2010-08-08,910,47,897,8189,13
Year 2009-2010,2010-08-09,931,77,891,100356,40
Year 2009-2010,2010-08-10,1779,56,1740,20077,39
Year 2009-2010,2010-08-11,1030,54,1022,8226,8
Year 2009-2010,2010-08-12,1861,159,1803,19305,58
Year 2009-2010,2010-08-13,1526,107,1466,18263,60
Year 2009-2010,2010-08-15,1088,64,1070,17413,18
Year 2009-2010,2010-08-16,1048,73,1021,13058,27
Year 2009-2010,2010-08-17,983,67,929,18408,54
Year 2009-2010,2010-08-18,1629,63,1621,23001,8
Year 2009-2010,2010-08-19,1536,84,1524,22579,12
Year 2009-2010,2010-08-20,1297,66,1286,19181,11
Year 2009-2010,2010-08-22,1382,64,1365,13916,17
Year 2009-2010,2010-08-23,1187,62,1158,13330,29
Year 2009-2010,2010-08-24,1166,74,1135,19102,31
Year 2009-2010,2010-08-25,1652,104,1612,17615,40
Year 2009-2010,2010-08-26,1682,101,1661,17688,21
Year 2009-2010,2010-08-27,1041,47,1034,7395,7
Year 2009-2010,2010-08-29,812,40,811,8790,1
Year 2009-2010,2010-08-31,1783,75,1753,14394,30
Year 2009-2010,2010-09-01,1056,84,981,12927,75
Year 2009-2010,2010-09-02,1647,102,1608,21990,39
Year 2009-2010,2010-09-03,1070,78,1029,31306,41
Year 2009-2010,2010-09-05,814,36,813,7276,1
Year 2009-2010,2010-09-06,1591,72,1568,16246,23
Year 2009-2010,2010-09-07,1145,55,1141,15749,4
Year 2009-2010,2010-09-08,1102,64,1086,10261,16
Year 2009-2010,2010-09-09,1656,102,1615,13528,41
Year 2009-2010,2010-09-10,1028,51,994,10544,34
Year 2009-2010,2010-09-12,1326,49,1325,9409,1
Year 2009-2010,2010-09-13,2001,111,1970,28481,31
Year 2009-2010,2010-09-14,1294,67,1286,11416,8
Year 2009-2010,2010-09-15,1420,93,1400,26599,20
Year 2009-2010,2010-09-16,1695,119,1620,14569,75
Year 2009-2010,2010-09-17,1162,82,1109,11901,53
Year 2009-2010,2010-09-19,1980,60,1979,13798,1
Year 2009-2010,2010-09-20,1841,101,1817,25111,24
Year 2009-2010,2010-09-21,2476,143,2384,37532,92
Year 2009-2010,2010-09-22,1492,104,1475,14815,17
Year 2009-2010,2010-09-23,2010,100,1997,22593,13
Year 2009-2010,2010-09-24,1574,87,1543,28056,31
Year 2009-2010,2010-09-26,1475,76,1451,13499,24
Year 2009-2010,2010-09-27,2317,111,2266,126182,51
Year 2009-2010,2010-09-28,2854,172,2737,23713,117
Year 2009-2010,2010-09-29,1915,133,1883,21578,32
Year 2009-2010,2010-09-30,2150,123,2109,25029,41
Year 2009-2010,2010-10-01,1764,89,1738,22743,26
Year 2009-2010,2010-10-03,2297,90,2267,20451,30
Year 2009-2010,2010-10-04,2118,101,2092,23579,26
Year 2009-2010,2010-10-05,2772,206,2658,35133,114
Year 2009-2010,2010-10-06,1302,71,1288,21956,14
Year 2009-2010,2010-10-07,3655,160,3562,30140,93
Year 2009-2010,2010-10-08,2034,101,1985,41495,49
Year 2009-2010,2010-10-10,1724,71,1718,12436,6
Year 2009-2010,2010-10-11,2511,126,2464,25172,47
Year 2009-2010,2010-10-12,2483,145,2428,29562,55
Year 2009-2010,2010-10-13,2201,103,2169,40374,32
Year 2009-2010,2010-10-14,2078,122,2014,37326,64
Year 2009-2010,2010-10-15,2316,138,2297,22602,19
Year 2009-2010,2010-10-17,2745,80,2717,19100,28
Year 2009-2010,2010-10-18,2850,179,2754,20153,96
Year 2009-2010,2010-10-19,2298,99,2256,27275,42
Year 2009-2010,2010-10-20,2491,122,2468,24232,23
Year 2009-2010,2010-10-21,2183,120,2138,17965,45
Year 2009-2010,2010-10-22,2266,144,2127,23414,139
Year 2009-2010,2010-10-24,2393,86,2386,15607,7
Year 2009-2010,2010-10-25,1940,106,1895,14785,45
Year 2009-2010,2010-10-26,2548,133,2494,26045,54
Year 2009-2010,2010-10-27,1838,81,1832,16260,6
Year 2009-2010,2010-10-28,1650,114,1576,14371,74
Year 2009-2010,2010-10-29,1951,90,1934,25638,17
Year 2009-2010,2010-10-31,2690,88,2682,16564,8
Year 2009-2010,2010-11-01,2238,108,2165,14511,73
Year 2009-2010,2010-11-02,2368,179,2244,24850,124
Year 2009-2010,2010-11-03,2109,146,2039,24755,70
Year 2009-2010,2010-11-04,3748,219,3627,60591,121
Year 2009-2010,2010-11-05,2010,149,1931,23038,79
Year 2009-2010,2010-11-07,2825,90,2812,18700,13
Year 2009-2010,2010-11-08,2638,124,2609,33132,29
Year 2009-2010,2010-11-09,2917,152,2829,36027,88
Year 2009-2010,2010-11-10,3640,152,3599,35310,41
Year 2009-2010,2010-11-11,3303,192,3212,34950,91
Year 2009-2010,2010-11-12,3065,120,3054,23251,11
Year 2009-2010,2010-11-14,2913,94,2908,17601,5
Year 2009-2010,2010-11-15,3772,133,3741,38200,31
Year 2009-2010,2010-11-16,3361,154,3286,39622,75
Year 2009-2010,2010-11-17,2864,134,2840,28689,24
Year 2009-2010,2010-11-18,2909,122,2879,21452,30
Year 2009-2010,2010-11-19,2599,150,2516,25457,83
Year 2009-2010,2010-11-21,3258,102,3248,18205,10
Year 2009-2010,2010-11-22,3273,105,3256,19866,17
Year 2009-2010,2010-11-23,3651,174,3583,27119,68
Year 2009-2010,2010-11-24,3446,188,3347,28908,99
Year 2009-2010,2010-11-25,3522,181,3476,38204,46
Year 2009-2010,2010-11-26,2610,102,2595,17914,15
Year 2009-2010,2010-11-28,2609,104,2586,16568,23
Year 2009-2010,2010-11-29,3951,125,3921,40165,30
Year 2009-2010,2010-11-30,2416,170,2293,26620,123
Year 2009-2010,2010-12-01,3108,143,3081,27007,27
Year 2009-2010,2010-12-02,2109,167,2064,31348,45
Year 2009-2010,2010-12-03,2202,108,2160,16471,42
Year 2009-2010,2010-12-05,2725,95,2709,16451,16
Year 2009-2010,2010-12-06,3878,133,3822,21951,56
Year 2009-2010,2010-12-07,2963,111,2921,25365,42
Year 2009-2010,2010-12-08,2647,148,2572,23125,75
Year 2009-2010,2010-12-09,2891,183,2801,20730,90
