source_date,legacy_invoice_count,positive_quantity_invoice_count,candidate_outbound_orders,candidate_lines,candidate_units,legacy_positive_lines,legacy_positive_units
2010-06-16,93,81,80,1817,19016,1823,19025
2010-06-17,100,81,73,1751,13305,1765,13554
2010-06-18,67,50,49,948,9571,953,9613
2010-06-20,27,26,26,438,4492,439,4496
2010-06-21,52,48,44,1773,12200,1779,12218
2010-06-22,46,43,42,996,6994,1003,7005
2010-06-23,70,68,68,1213,16222,1219,16258
2010-06-24,118,75,73,1507,13811,1532,13968
2010-06-25,52,49,43,1210,8430,1216,8440
2010-06-27,62,55,55,1254,10918,1254,10918
2010-06-28,80,70,69,1821,34775,1827,34790
2010-06-29,89,79,73,1590,21972,1607,22063
2010-06-30,146,83,78,1810,21051,1822,21078
2010-07-01,99,85,84,1801,16514,1810,16537
2010-07-02,58,47,44,1034,8731,1041,8753
2010-07-04,22,21,21,679,5345,679,5345
2010-07-05,127,97,85,1880,16698,1897,16793
2010-07-06,63,58,58,1092,11951,1098,11965
2010-07-07,98,82,77,1701,14687,1725,14791
2010-07-08,100,75,72,1308,12135,1316,12226
2010-07-09,54,36,30,879,14070,888,14261
2010-07-11,29,28,28,706,5848,706,5848
2010-07-12,66,51,49,1192,9789,1200,9821
2010-07-13,63,55,55,1138,10072,1143,10078
2010-07-14,108,64,61,1355,13415,1362,14400
2010-07-15,104,81,78,1562,27926,1572,27942
2010-07-16,131,86,69,1126,14494,1146,32559
2010-07-18,43,40,40,880,9673,884,9690
2010-07-19,68,60,58,1428,18542,1434,18553
2010-07-20,64,57,57,1158,12118,1164,12136
2010-07-21,85,55,54,1217,13189,1222,13199
2010-07-22,105,80,78,1566,13958,1586,14184
2010-07-23,55,48,47,1027,13333,1033,13393
2010-07-25,59,54,53,1259,11637,1266,11648
2010-07-26,76,62,61,1463,15062,1474,15081
2010-07-27,83,70,70,1026,14320,1029,14327
2010-07-28,86,65,64,1310,13387,1312,13391
2010-07-29,101,75,69,1825,13806,1837,14245
2010-07-30,70,53,50,728,8441,737,8450
2010-08-01,39,32,30,870,9712,875,9740
2010-08-02,73,63,63,1182,12234,1189,12245
2010-08-03,85,59,57,1485,16327,1495,16346
2010-08-04,64,53,52,1378,11748,1387,11761
2010-08-05,73,62,54,1323,16887,1334,62492
2010-08-06,59,46,45,557,9922,561,9933
2010-08-08,47,44,44,897,8189,897,8189
2010-08-09,77,62,51,876,100226,891,100356
2010-08-10,56,46,44,1730,20067,1740,20077
2010-08-11,54,46,44,1014,8216,1022,8226
2010-08-12,159,120,80,1757,18276,1803,19305
2010-08-13,107,58,54,1455,18221,1466,18263
2010-08-15,64,58,57,1066,17405,1070,17413
2010-08-16,73,51,39,1006,12607,1021,13058
2010-08-17,67,45,45,927,18405,929,18408
2010-08-18,63,59,58,1616,22994,1621,23001
2010-08-19,84,77,77,1511,22559,1524,22579
2010-08-20,66,59,58,1276,18972,1286,19181
2010-08-22,64,60,60,1363,13911,1365,13916
2010-08-23,62,47,45,1155,13256,1158,13330
2010-08-24,74,61,61,1131,19096,1135,19102
2010-08-25,104,77,76,1604,17596,1612,17615
2010-08-26,101,83,78,1645,17624,1661,17688
2010-08-27,47,41,35,1025,7379,1034,7395
2010-08-29,40,39,39,809,8786,811,8790
2010-08-31,75,63,61,1742,14374,1753,14394
2010-09-01,84,44,42,973,12911,981,12927
2010-09-02,102,91,86,1596,21966,1608,21990
2010-09-03,78,61,61,1023,31296,1029,31306
2010-09-05,36,35,35,810,7269,813,7276
2010-09-06,72,56,54,1559,16218,1568,16246
2010-09-07,55,51,51,1135,15741,1141,15749
2010-09-08,64,51,46,1078,10236,1086,10261
2010-09-09,102,71,66,1600,13274,1615,13528
2010-09-10,51,47,45,988,10421,994,10544
2010-09-12,49,48,48,1324,9404,1325,9409
2010-09-13,111,88,86,1951,28457,1970,28481
2010-09-14,67,63,61,1276,11396,1286,11416
2010-09-15,93,80,66,1379,21477,1400,26599
2010-09-16,119,78,66,1601,14442,1620,14569
2010-09-17,82,54,51,1101,11853,1109,11901
2010-09-19,60,59,59,1978,13797,1979,13798
2010-09-20,101,83,75,1798,25082,1817,25111
2010-09-21,143,104,103,2377,37270,2384,37532
2010-09-22,104,88,82,1457,14602,1475,14815
2010-09-23,100,95,85,1981,21604,1997,22593
2010-09-24,87,67,61,1534,28047,1543,28056
2010-09-26,76,65,65,1450,13498,1451,13499
2010-09-27,111,95,85,2252,126161,2266,126182
2010-09-28,172,127,127,2724,23697,2737,23713
2010-09-29,133,116,98,1860,21173,1883,21578
2010-09-30,123,94,90,2098,24960,2109,25029
2010-10-01,89,72,71,1726,22715,1738,22743
2010-10-03,90,77,76,2263,20445,2267,20451
2010-10-04,101,86,84,2080,23560,2092,23579
2010-10-05,206,133,117,2637,34863,2658,35133
2010-10-06,71,63,61,1282,21939,1288,21956
2010-10-07,160,122,114,3549,30119,3562,30140
2010-10-08,101,79,75,1970,41452,1985,41495
2010-10-10,71,68,68,1716,12429,1718,12436
2010-10-11,126,106,90,2441,24943,2464,25172
2010-10-12,145,112,110,2416,29537,2428,29562
2010-10-13,103,87,83,2158,40353,2169,40374
2010-10-14,122,103,98,2003,37240,2014,37326
2010-10-15,138,123,108,2264,22376,2297,22602
2010-10-17,80,71,71,2715,19097,2717,19100
2010-10-18,179,113,103,2729,19763,2754,20153
2010-10-19,99,80,75,2247,27244,2256,27275
2010-10-20,122,109,107,2460,24221,2468,24232
2010-10-21,120,96,95,2129,17951,2138,17965
2010-10-22,144,95,87,2103,23153,2127,23414
2010-10-24,86,83,83,2381,15587,2386,15607
2010-10-25,106,81,72,1880,14509,1895,14785
2010-10-26,133,105,103,2485,26011,2494,26045
2010-10-27,81,77,70,1818,16220,1832,16260
2010-10-28,114,63,61,1565,14358,1576,14371
2010-10-29,90,84,83,1925,25597,1934,25638
2010-10-31,88,83,83,2680,16561,2682,16564
2010-11-01,108,68,59,2144,14150,2165,14511
2010-11-02,179,111,89,2215,24231,2244,24850
2010-11-03,146,95,87,2023,23663,2039,24755
2010-11-04,219,134,131,3617,60554,3627,60591
2010-11-05,149,87,73,1908,22453,1931,23038
2010-11-07,90,82,82,2805,18681,2812,18700
2010-11-08,124,106,80,2575,32418,2609,33132
2010-11-09,152,124,120,2816,35488,2829,36027
2010-11-10,152,131,130,3591,35294,3599,35310
2010-11-11,192,133,129,3203,34917,3212,34950
2010-11-12,120,112,109,3035,23224,3054,23251
2010-11-14,94,90,90,2907,17600,2908,17601
2010-11-15,133,119,102,3719,38065,3741,38200
2010-11-16,154,112,107,3270,39373,3286,39622
2010-11-17,134,119,118,2832,28677,2840,28689
2010-11-18,122,106,104,2868,21422,2879,21452
2010-11-19,150,110,106,2490,25383,2516,25457
2010-11-21,102,96,96,3237,18160,3248,18205
2010-11-22,105,95,92,3243,19783,3256,19866
2010-11-23,174,134,131,3571,26938,3583,27119
2010-11-24,188,135,135,3337,28892,3347,28908
2010-11-25,181,153,151,3471,38121,3476,38204
2010-11-26,102,89,88,2581,17885,2595,17914
2010-11-28,104,91,90,2578,16540,2586,16568
2010-11-29,125,112,106,3905,40081,3921,40165
2010-11-30,170,124,122,2278,26507,2293,26620
2010-12-01,143,136,127,3064,26909,3081,27007
2010-12-02,167,143,141,2061,31327,2064,31348
2010-12-03,108,73,70,2142,16212,2160,16471
2010-12-05,95,88,88,2697,16372,2709,16451
2010-12-06,133,108,102,3805,21768,3822,21951
2010-12-07,111,85,84,2910,25345,2921,25365
2010-12-08,148,123,116,2558,23066,2572,23125
2010-12-09,183,132,106,2759,19897,2801,20730
2010-12-10,91,81,77,2677,21094,2685,21155
2010-12-12,51,44,44,1439,10603,1439,10603
2010-12-13,84,70,70,2259,17719,2263,17727
2010-12-14,144,92,90,2000,20294,2010,20767
2010-12-15,98,74,73,1305,18444,1307,18493
2010-12-16,150,121,121,1749,29939,1751,29947
2010-12-17,72,67,66,3085,16893,3106,16959
2010-12-19,25,23,23,516,3794,518,3799
2010-12-20,96,69,62,1663,15674,1679,15793
2010-12-21,66,56,54,1543,15603,1565,15658
2010-12-22,22,17,17,284,3209,286,3213
2010-12-23,38,27,27,938,5726,944,5754
2011-01-04,57,40,36,1152,8626,1160,8678
2011-01-05,76,56,55,1657,19757,1667,19806
2011-01-06,78,50,50,1765,23171,1769,23178
2011-01-07,58,53,53,1757,17131,1766,17160
2011-01-09,51,48,48,1095,8196,1098,8202
2011-01-10,61,44,39,1944,12853,1956,13091
2011-01-11,84,63,58,1392,28435,1405,29458
2011-01-12,62,46,45,1777,10604,1784,10623
2011-01-13,51,44,44,1429,10160,1434,10175
2011-01-14,56,47,47,1479,23125,1493,23149
2011-01-16,29,25,25,641,4202,642,4204
2011-01-17,55,51,51,2545,13380,2551,13397
2011-01-18,51,41,40,1415,82935,1428,82978
2011-01-19,43,35,35,1401,17368,1407,17387
2011-01-20,54,40,38,1471,10477,1478,10497
2011-01-21,64,39,38,1525,15296,1532,15305
2011-01-23,30,27,27,859,5235,860,5241
2011-01-24,61,53,52,1459,12008,1472,12029
2011-01-25,86,67,66,1592,15599,1600,15614
2011-01-26,71,57,56,1250,10955,1257,10976
2011-01-27,88,56,52,1487,11306,1497,11577
2011-01-28,100,52,40,890,9842,907,18145
2011-01-30,25,24,24,714,3431,714,3431
2011-01-31,85,62,62,1462,13389,1473,13415
2011-02-01,86,66,63,1519,15822,1530,15851
2011-02-02,74,65,62,1387,9718,1399,9732
2011-02-03,53,48,45,971,15699,980,16999
2011-02-04,75,58,52,1194,12689,1208,14077
2011-02-06,11,11,11,279,2048,279,2048
2011-02-07,53,42,42,1227,9141,1229,9143
2011-02-08,58,50,45,1191,10112,1203,10254
2011-02-09,31,29,29,867,7125,877,7165
2011-02-10,66,42,42,719,11905,722,11909
2011-02-11,95,47,45,864,10521,869,10549
2011-02-13,24,20,20,609,2756,609,2756
2011-02-14,55,42,42,1081,13585,1087,13595
2011-02-15,70,59,58,1308,22686,1315,22720
2011-02-16,69,63,63,1181,16148,1184,16156
2011-02-17,73,69,67,1698,14405,1715,14548
2011-02-18,67,42,38,812,9171,821,9246
2011-02-20,29,26,26,858,5349,859,5353
2011-02-21,59,38,37,1368,21568,1376,21589
2011-02-22,64,52,52,1565,21875,1568,21902
2011-02-23,68,63,63,1561,13749,1571,13767
2011-02-24,66,55,55,1268,11894,1270,11896
2011-02-25,51,49,49,963,10560,970,10573
2011-02-27,35,33,33,809,4869,810,4870
2011-02-28,61,57,57,1719,9960,1733,9997
2011-03-01,67,62,60,1342,12125,1354,12145
2011-03-02,67,43,43,891,8617,891,8617
2011-03-03,85,51,49,1329,20114,1339,20163
2011-03-04,56,51,49,1092,13562,1101,13779
2011-03-06,35,27,27,822,5049,822,5049
2011-03-07,107,69,67,1895,14017,1908,14064
2011-03-08,61,49,48,1576,14553,1584,14571
2011-03-09,79,57,54,1238,14900,1246,15182
2011-03-10,90,62,56,1077,15581,1085,16515
2011-03-11,66,55,51,937,10811,944,10870
2011-03-13,17,16,16,531,2722,534,2749
2011-03-14,61,50,50,1085,16754,1091,16765
2011-03-15,65,54,51,1267,8948,1279,9080
2011-03-16,59,52,52,856,12917,863,12947
2011-03-17,88,62,62,2008,20985,2017,21002
2011-03-18,76,64,64,1329,14027,1339,14052
2011-03-20,64,60,60,1437,14185,1444,14195
2011-03-21,69,53,53,1039,10309,1040,10311
2011-03-22,83,61,52,2332,16544,2355,16664
2011-03-23,88,78,63,1278,14397,1303,14462
2011-03-24,95,73,68,1539,18323,1549,18569
2011-03-25,67,58,56,1329,14054,1342,14179
2011-03-27,46,32,32,713,4527,715,4530
2011-03-28,85,72,59,1620,12240,1644,13526
2011-03-29,95,67,62,1931,32793,1946,32916
2011-03-30,118,84,75,1526,20695,1541,21132
2011-03-31,94,69,65,1626,16872,1639,16916
2011-04-01,107,81,74,1215,18478,1228,18564
2011-04-03,22,20,20,725,5679,725,5679
2011-04-04,81,59,56,1644,13997,1657,14015
2011-04-05,96,57,51,1132,15992,1140,16056
2011-04-06,89,50,40,1070,9170,1081,9524
2011-04-07,81,64,64,1494,10534,1500,10545
2011-04-08,136,85,70,1363,13005,1382,13219
2011-04-10,37,32,32,932,5629,933,5632
2011-04-11,74,64,62,1215,13628,1223,13640
2011-04-12,81,62,61,1109,15338,1111,15341
2011-04-13,79,60,60,1018,18761,1021,18769
2011-04-14,109,86,86,1541,18861,1548,18878
2011-04-15,57,56,56,1463,12708,1480,12729
2011-04-17,44,42,42,964,8180,966,8183
2011-04-18,96,72,69,3119,31109,3134,31494
2011-04-19,75,59,59,1848,14454,1860,14482
2011-04-20,89,65,63,988,18370,992,18390
2011-04-21,112,97,79,1887,18206,1914,18394
2011-04-26,86,72,71,1852,16139,1866,16173
2011-04-27,92,73,65,1260,18187,1276,18627
2011-04-28,101,62,58,1124,13396,1134,13842
2011-05-01,21,18,18,447,3811,448,3819
2011-05-03,126,73,64,1361,12452,1376,12606
2011-05-04,77,65,65,1140,17371,1143,17385
2011-05-05,110,92,88,1788,17463,1801,17483
2011-05-06,113,89,87,2009,20341,2019,20424
2011-05-08,67,63,63,1498,10695,1500,10702
2011-05-09,84,72,71,1743,13347,1751,13359
2011-05-10,116,96,95,2506,19772,2532,19802
2011-05-11,97,80,80,1657,18901,1662,18913
2011-05-12,106,86,84,1918,37808,1928,37833
2011-05-13,77,74,73,1414,15238,1419,15247
2011-05-15,31,31,31,806,4894,809,4898
2011-05-16,87,69,67,1576,16009,1585,16020
2011-05-17,121,84,82,1861,27101,1874,27143
2011-05-18,89,79,73,1336,19045,1349,19073
2011-05-19,124,102,99,1877,18126,1891,18347
2011-05-20,90,72,71,1100,15480,1106,15504
2011-05-22,62,61,61,1549,12734,1553,12749
2011-05-23,122,71,65,1550,18200,1567,18231
2011-05-24,101,71,68,1693,15930,1701,15991
2011-05-25,91,71,66,1287,14457,1297,14638
2011-05-26,78,68,64,938,16251,950,16349
2011-05-27,85,66,64,1122,16201,1134,17022
2011-05-29,25,24,24,629,4120,630,4124
2011-05-31,62,54,54,1258,11741,1267,11763
2011-06-01,65,42,42,1411,10980,1418,10990
2011-06-02,86,54,52,1529,14587,1541,14657
2011-06-03,53,45,44,843,7686,848,7691
2011-06-05,70,67,67,1548,13468,1555,13501
2011-06-06,73,57,56,1169,9437,1175,9462
2011-06-07,98,78,77,1884,18759,1891,18768
2011-06-08,113,99,99,2276,21255,2297,21284
2011-06-09,110,88,86,1804,32268,1819,32363
2011-06-10,92,56,50,1011,10656,1024,11043
2011-06-12,40,39,39,1066,9486,1068,9491
2011-06-13,87,59,59,1389,11263,1404,11302
2011-06-14,66,57,57,1571,14621,1574,14624
2011-06-15,90,70,60,1662,30686,1683,30720
2011-06-16,107,85,83,1495,20277,1503,20315
2011-06-17,62,55,52,936,11750,942,11764
2011-06-19,64,60,60,1153,15076,1157,15081
2011-06-20,102,78,73,1956,16569,1978,16734
2011-06-21,85,56,55,1443,14183,1453,14275
2011-06-22,68,60,58,1000,15828,1008,15840
2011-06-23,90,73,72,1938,14715,1948,14739
2011-06-24,63,51,50,1015,9971,1024,9985
2011-06-26,36,26,26,665,3782,667,3786
2011-06-27,61,46,45,1148,9903,1156,9918
2011-06-28,84,62,54,986,21898,999,21934
2011-06-29,67,43,42,1311,12066,1315,12111
2011-06-30,80,70,70,1602,21948,1609,21959
2011-07-01,70,52,48,964,7651,978,7813
2011-07-03,27,25,25,598,3117,598,3117
2011-07-04,64,53,50,2171,15696,2185,15736
2011-07-05,88,77,73,2160,22081,2175,22131
2011-07-06,77,71,70,1787,19159,1795,19323
2011-07-07,93,78,77,1889,19718,1896,19803
2011-07-08,93,67,64,1556,12690,1579,12738
2011-07-10,29,24,24,812,4251,815,4255
2011-07-11,68,55,52,1481,15134,1490,15177
2011-07-12,66,54,53,1634,13943,1646,13981
2011-07-13,66,59,58,1603,16288,1610,16300
2011-07-14,91,73,71,1656,20664,1663,20881
2011-07-15,62,45,41,1108,7337,1118,7405
2011-07-17,53,51,51,1244,11041,1246,11044
2011-07-18,107,80,58,2135,15141,2167,15305
2011-07-19,88,69,66,1566,29313,1576,29349
2011-07-20,75,58,56,1984,17723,1993,17737
2011-07-21,106,80,76,1480,19955,1494,20091
2011-07-22,58,44,43,1277,10270,1281,10302
2011-07-24,63,58,58,1113,17664,1116,17670
2011-07-25,70,59,58,1924,16072,1935,16100
2011-07-26,89,59,51,1221,13710,1233,14056
2011-07-27,86,55,48,1215,13958,1228,14142
2011-07-28,125,87,81,1498,30411,1510,30584
2011-07-29,70,65,64,1116,11609,1119,11621
2011-07-31,43,42,42,1264,20829,1270,20878
2011-08-01,51,40,39,1185,11713,1189,11722
2011-08-02,61,44,44,1325,15706,1332,15721
2011-08-03,84,67,64,1516,16511,1521,16623
2011-08-04,99,82,82,1771,41124,1782,41148
2011-08-05,66,55,55,1435,12796,1442,12818
2011-08-07,33,30,30,529,5186,529,5186
2011-08-08,57,41,39,1449,13341,1455,13412
2011-08-09,60,42,40,1083,16257,1087,16261
2011-08-10,62,49,49,1354,14410,1360,14423
2011-08-11,85,71,68,1927,39863,1935,40299
2011-08-12,61,58,50,1101,11965,1115,12024
2011-08-14,37,25,25,538,3180,538,3180
2011-08-15,54,49,48,914,10174,918,10201
2011-08-16,63,57,51,1014,11192,1022,11262
2011-08-17,64,55,54,1643,25678,1651,25715
2011-08-18,100,71,69,1481,34080,1487,34174
2011-08-19,61,56,54,803,10649,811,10672
2011-08-21,42,39,39,1060,8162,1065,8169
2011-08-22,68,65,65,1264,15546,1267,15556
2011-08-23,73,64,60,1428,15168,1434,15181
2011-08-24,102,78,77,1810,29505,1820,29522
2011-08-25,93,75,74,1278,13363,1291,13487
2011-08-26,55,51,47,916,17757,925,18175
2011-08-28,39,37,37,1196,6774,1196,6774
2011-08-30,50,43,40,3196,10223,3218,10304
2011-08-31,117,65,44,1148,12429,1176,13007
2011-09-01,81,77,75,1394,27717,1399,27858
2011-09-02,107,79,74,2314,18563,2333,18956
2011-09-04,53,50,50,1329,10954,1333,10963
2011-09-05,78,72,67,1557,22873,1569,23653
2011-09-06,70,64,62,1117,15078,1122,15090
2011-09-07,60,54,51,2068,16375,2080,16392
2011-09-08,90,78,76,1742,17454,1750,17468
2011-09-09,88,62,61,1552,17389,1558,17405
2011-09-11,78,75,75,2022,21131,2027,21146
2011-09-12,96,73,71,1635,16979,1638,17663
2011-09-13,82,73,70,2417,36554,2428,36936
2011-09-14,93,69,68,1329,14185,1333,14334
2011-09-15,115,84,80,2140,29295,2151,29324
2011-09-16,84,60,54,1438,15119,1448,16009
2011-09-18,28,27,27,1271,8993,1272,8994
2011-09-19,100,76,70,1373,29346,1388,29394
2011-09-20,77,71,70,1700,43590,1709,43733
2011-09-21,107,76,75,3009,22303,3025,22334
2011-09-22,148,115,110,2655,33142,2675,33225
2011-09-23,98,68,64,2574,21851,2591,21912
2011-09-25,78,75,75,1977,19498,1981,19505
2011-09-26,79,67,65,1521,15315,1528,15353
2011-09-27,115,83,79,1840,21711,1850,21965
2011-09-28,112,85,85,2819,25353,2830,25559
2011-09-29,116,107,104,2450,27457,2462,27682
2011-09-30,94,76,73,1830,22538,1843,22563
2011-10-02,36,35,35,1426,8385,1426,8385
2011-10-03,91,70,66,2258,25963,2270,26003
2011-10-04,104,86,82,2751,25569,2764,25806
2011-10-05,104,99,96,2380,46287,2389,46338
2011-10-06,218,137,121,2915,36190,2945,36847
2011-10-07,108,92,87,2343,30938,2359,31090
2011-10-09,41,39,39,1261,7556,1261,7556
2011-10-10,139,103,99,3145,26151,3161,26212
2011-10-11,105,86,81,2403,28455,2417,28524
2011-10-12,110,94,86,2009,17637,2032,17915
2011-10-13,106,79,76,2288,18745,2300,19108
2011-10-14,88,77,72,1766,18193,1778,18268
2011-10-16,39,35,35,1246,8769,1247,8770
2011-10-17,108,90,87,2889,31377,2902,31410
2011-10-18,109,93,85,2846,29307,2862,29588
2011-10-19,107,86,83,2257,19230,2271,19260
2011-10-20,106,89,87,2304,40904,2312,40919
