source_sheet,planning_date,source_lines,distinct_invoice_ids,positive_quantity_lines,positive_units,nonpositive_quantity_lines
Year 2010-2011,2011-01-26,1289,71,1257,10976,32
Year 2010-2011,2011-01-27,1575,88,1497,11577,78
Year 2010-2011,2011-01-28,1008,100,907,18145,101
Year 2010-2011,2011-01-30,722,25,714,3431,8
Year 2010-2011,2011-01-31,1509,85,1473,13415,36
Year 2010-2011,2011-02-01,1574,86,1530,15851,44
Year 2010-2011,2011-02-02,1411,74,1399,9732,12
Year 2010-2011,2011-02-03,989,53,980,16999,9
Year 2010-2011,2011-02-04,1232,75,1208,14077,24
Year 2010-2011,2011-02-06,279,11,279,2048,0
Year 2010-2011,2011-02-07,1261,53,1229,9143,32
Year 2010-2011,2011-02-08,1228,58,1203,10254,25
Year 2010-2011,2011-02-09,879,31,877,7165,2
Year 2010-2011,2011-02-10,785,66,722,11909,63
Year 2010-2011,2011-02-11,957,95,869,10549,88
Year 2010-2011,2011-02-13,624,24,609,2756,15
Year 2010-2011,2011-02-14,1108,55,1087,13595,21
Year 2010-2011,2011-02-15,1335,70,1315,22720,20
Year 2010-2011,2011-02-16,1191,69,1184,16156,7
Year 2010-2011,2011-02-17,1719,73,1715,14548,4
Year 2010-2011,2011-02-18,854,67,821,9246,33
Year 2010-2011,2011-02-20,864,29,859,5353,5
Year 2010-2011,2011-02-21,1425,59,1376,21589,49
Year 2010-2011,2011-02-22,1593,64,1568,21902,25
Year 2010-2011,2011-02-23,1578,68,1571,13767,7
Year 2010-2011,2011-02-24,1294,66,1270,11896,24
Year 2010-2011,2011-02-25,978,51,970,10573,8
Year 2010-2011,2011-02-27,812,35,810,4870,2
Year 2010-2011,2011-02-28,1737,61,1733,9997,4
Year 2010-2011,2011-03-01,1361,67,1354,12145,7
Year 2010-2011,2011-03-02,935,67,891,8617,44
Year 2010-2011,2011-03-03,1389,85,1339,20163,50
Year 2010-2011,2011-03-04,1107,56,1101,13779,6
Year 2010-2011,2011-03-06,844,35,822,5049,22
Year 2010-2011,2011-03-07,1971,107,1908,14064,63
Year 2010-2011,2011-03-08,1600,61,1584,14571,16
Year 2010-2011,2011-03-09,1277,79,1246,15182,31
Year 2010-2011,2011-03-10,1131,90,1085,16515,46
Year 2010-2011,2011-03-11,959,66,944,10870,15
Year 2010-2011,2011-03-13,537,17,534,2749,3
Year 2010-2011,2011-03-14,1111,61,1091,16765,20
Year 2010-2011,2011-03-15,1292,65,1279,9080,13
Year 2010-2011,2011-03-16,874,59,863,12947,11
Year 2010-2011,2011-03-17,2074,88,2017,21002,57
Year 2010-2011,2011-03-18,1379,76,1339,14052,40
Year 2010-2011,2011-03-20,1453,64,1444,14195,9
Year 2010-2011,2011-03-21,1068,69,1040,10311,28
Year 2010-2011,2011-03-22,2384,83,2355,16664,29
Year 2010-2011,2011-03-23,1319,88,1303,14462,16
Year 2010-2011,2011-03-24,1577,95,1549,18569,28
Year 2010-2011,2011-03-25,1386,67,1342,14179,44
Year 2010-2011,2011-03-27,737,46,715,4530,22
Year 2010-2011,2011-03-28,1672,85,1644,13526,28
Year 2010-2011,2011-03-29,1983,95,1946,32916,37
Year 2010-2011,2011-03-30,1590,118,1541,21132,49
Year 2010-2011,2011-03-31,1738,94,1639,16916,99
Year 2010-2011,2011-04-01,1261,107,1228,18564,33
Year 2010-2011,2011-04-03,731,22,725,5679,6
Year 2010-2011,2011-04-04,1705,81,1657,14015,48
Year 2010-2011,2011-04-05,1215,96,1140,16056,75
Year 2010-2011,2011-04-06,1122,89,1081,9524,41
Year 2010-2011,2011-04-07,1527,81,1500,10545,27
Year 2010-2011,2011-04-08,1441,136,1382,13219,59
Year 2010-2011,2011-04-10,940,37,933,5632,7
Year 2010-2011,2011-04-11,1259,74,1223,13640,36
Year 2010-2011,2011-04-12,1152,81,1111,15341,41
Year 2010-2011,2011-04-13,1052,79,1021,18769,31
Year 2010-2011,2011-04-14,1608,109,1548,18878,60
Year 2010-2011,2011-04-15,1483,57,1480,12729,3
Year 2010-2011,2011-04-17,968,44,966,8183,2
Year 2010-2011,2011-04-18,3208,96,3134,31494,74
Year 2010-2011,2011-04-19,1887,75,1860,14482,27
Year 2010-2011,2011-04-20,1025,89,992,18390,33
Year 2010-2011,2011-04-21,1930,112,1914,18394,16
Year 2010-2011,2011-04-26,1903,86,1866,16173,37
Year 2010-2011,2011-04-27,1307,92,1276,18627,31
Year 2010-2011,2011-04-28,1192,101,1134,13842,58
Year 2010-2011,2011-05-01,452,21,448,3819,4
Year 2010-2011,2011-05-03,1449,126,1376,12606,73
Year 2010-2011,2011-05-04,1161,77,1143,17385,18
Year 2010-2011,2011-05-05,1838,110,1801,17483,37
Year 2010-2011,2011-05-06,2051,113,2019,20424,32
Year 2010-2011,2011-05-08,1506,67,1500,10702,6
Year 2010-2011,2011-05-09,1766,84,1751,13359,15
Year 2010-2011,2011-05-10,2586,116,2532,19802,54
Year 2010-2011,2011-05-11,1701,97,1662,18913,39
Year 2010-2011,2011-05-12,1965,106,1928,37833,37
Year 2010-2011,2011-05-13,1425,77,1419,15247,6
Year 2010-2011,2011-05-15,809,31,809,4898,0
Year 2010-2011,2011-05-16,1609,87,1585,16020,24
Year 2010-2011,2011-05-17,1932,121,1874,27143,58
Year 2010-2011,2011-05-18,1366,89,1349,19073,17
Year 2010-2011,2011-05-19,1949,124,1891,18347,58
Year 2010-2011,2011-05-20,1129,90,1106,15504,23
Year 2010-2011,2011-05-22,1564,62,1553,12749,11
Year 2010-2011,2011-05-23,1646,122,1567,18231,79
Year 2010-2011,2011-05-24,1750,101,1701,15991,49
Year 2010-2011,2011-05-25,1322,91,1297,14638,25
Year 2010-2011,2011-05-26,971,78,950,16349,21
Year 2010-2011,2011-05-27,1170,85,1134,17022,36
Year 2010-2011,2011-05-29,632,25,630,4124,2
Year 2010-2011,2011-05-31,1281,62,1267,11763,14
Year 2010-2011,2011-06-01,1456,65,1418,10990,38
Year 2010-2011,2011-06-02,1588,86,1541,14657,47
Year 2010-2011,2011-06-03,858,53,848,7691,10
Year 2010-2011,2011-06-05,1561,70,1555,13501,6
Year 2010-2011,2011-06-06,1229,73,1175,9462,54
Year 2010-2011,2011-06-07,1926,98,1891,18768,35
Year 2010-2011,2011-06-08,2327,113,2297,21284,30
Year 2010-2011,2011-06-09,1850,110,1819,32363,31
Year 2010-2011,2011-06-10,1067,92,1024,11043,43
Year 2010-2011,2011-06-12,1075,40,1068,9491,7
Year 2010-2011,2011-06-13,1472,87,1404,11302,68
Year 2010-2011,2011-06-14,1587,66,1574,14624,13
Year 2010-2011,2011-06-15,1718,90,1683,30720,35
Year 2010-2011,2011-06-16,1534,107,1503,20315,31
Year 2010-2011,2011-06-17,961,62,942,11764,19
Year 2010-2011,2011-06-19,1167,64,1157,15081,10
Year 2010-2011,2011-06-20,2020,102,1978,16734,42
Year 2010-2011,2011-06-21,1538,85,1453,14275,85
Year 2010-2011,2011-06-22,1017,68,1008,15840,9
Year 2010-2011,2011-06-23,1973,90,1948,14739,25
Year 2010-2011,2011-06-24,1039,63,1024,9985,15
Year 2010-2011,2011-06-26,708,36,667,3786,41
Year 2010-2011,2011-06-27,1182,61,1156,9918,26
Year 2010-2011,2011-06-28,1043,84,999,21934,44
Year 2010-2011,2011-06-29,1358,67,1315,12111,43
Year 2010-2011,2011-06-30,1620,80,1609,21959,11
Year 2010-2011,2011-07-01,1027,70,978,7813,49
Year 2010-2011,2011-07-03,602,27,598,3117,4
Year 2010-2011,2011-07-04,2200,64,2185,15736,15
Year 2010-2011,2011-07-05,2202,88,2175,22131,27
Year 2010-2011,2011-07-06,1816,77,1795,19323,21
Year 2010-2011,2011-07-07,1940,93,1896,19803,44
Year 2010-2011,2011-07-08,1630,93,1579,12738,51
Year 2010-2011,2011-07-10,820,29,815,4255,5
Year 2010-2011,2011-07-11,1515,68,1490,15177,25
Year 2010-2011,2011-07-12,1667,66,1646,13981,21
Year 2010-2011,2011-07-13,1618,66,1610,16300,8
Year 2010-2011,2011-07-14,1734,91,1663,20881,71
Year 2010-2011,2011-07-15,1136,62,1118,7405,18
Year 2010-2011,2011-07-17,1248,53,1246,11044,2
Year 2010-2011,2011-07-18,2234,107,2167,15305,67
Year 2010-2011,2011-07-19,1667,88,1576,29349,91
Year 2010-2011,2011-07-20,2015,75,1993,17737,22
Year 2010-2011,2011-07-21,1570,106,1494,20091,76
Year 2010-2011,2011-07-22,1301,58,1281,10302,20
Year 2010-2011,2011-07-24,1125,63,1116,17670,9
Year 2010-2011,2011-07-25,1946,70,1935,16100,11
Year 2010-2011,2011-07-26,1279,89,1233,14056,46
Year 2010-2011,2011-07-27,1259,86,1228,14142,31
Year 2010-2011,2011-07-28,1565,125,1510,30584,55
Year 2010-2011,2011-07-29,1131,70,1119,11621,12
Year 2010-2011,2011-07-31,1271,43,1270,20878,1
Year 2010-2011,2011-08-01,1200,51,1189,11722,11
Year 2010-2011,2011-08-02,1369,61,1332,15721,37
Year 2010-2011,2011-08-03,1560,84,1521,16623,39
Year 2010-2011,2011-08-04,1839,99,1782,41148,57
Year 2010-2011,2011-08-05,1455,66,1442,12818,13
Year 2010-2011,2011-08-07,541,33,529,5186,12
Year 2010-2011,2011-08-08,1490,57,1455,13412,35
Year 2010-2011,2011-08-09,1119,60,1087,16261,32
Year 2010-2011,2011-08-10,1376,62,1360,14423,16
Year 2010-2011,2011-08-11,1984,85,1935,40299,49
Year 2010-2011,2011-08-12,1122,61,1115,12024,7
Year 2010-2011,2011-08-14,557,37,538,3180,19
Year 2010-2011,2011-08-15,926,54,918,10201,8
Year 2010-2011,2011-08-16,1035,63,1022,11262,13
Year 2010-2011,2011-08-17,1666,64,1651,25715,15
Year 2010-2011,2011-08-18,1539,100,1487,34174,52
Year 2010-2011,2011-08-19,819,61,811,10672,8
Year 2010-2011,2011-08-21,1070,42,1065,8169,5
Year 2010-2011,2011-08-22,1272,68,1267,15556,5
Year 2010-2011,2011-08-23,1458,73,1434,15181,24
Year 2010-2011,2011-08-24,1876,102,1820,29522,56
Year 2010-2011,2011-08-25,1342,93,1291,13487,51
Year 2010-2011,2011-08-26,929,55,925,18175,4
Year 2010-2011,2011-08-28,1200,39,1196,6774,4
Year 2010-2011,2011-08-30,3235,50,3218,10304,17
Year 2010-2011,2011-08-31,1305,117,1176,13007,129
Year 2010-2011,2011-09-01,1405,81,1399,27858,6
Year 2010-2011,2011-09-02,2376,107,2333,18956,43
Year 2010-2011,2011-09-04,1343,53,1333,10963,10
Year 2010-2011,2011-09-05,1587,78,1569,23653,18
Year 2010-2011,2011-09-06,1140,70,1122,15090,18
Year 2010-2011,2011-09-07,2112,60,2080,16392,32
Year 2010-2011,2011-09-08,1779,90,1750,17468,29
Year 2010-2011,2011-09-09,1607,88,1558,17405,49
Year 2010-2011,2011-09-11,2032,78,2027,21146,5
Year 2010-2011,2011-09-12,1702,96,1638,17663,64
Year 2010-2011,2011-09-13,2438,82,2428,36936,10
Year 2010-2011,2011-09-14,1376,93,1333,14334,43
Year 2010-2011,2011-09-15,2197,115,2151,29324,46
Year 2010-2011,2011-09-16,1475,84,1448,16009,27
Year 2010-2011,2011-09-18,1274,28,1272,8994,2
Year 2010-2011,2011-09-19,1436,100,1388,29394,48
Year 2010-2011,2011-09-20,1718,77,1709,43733,9
Year 2010-2011,2011-09-21,3129,107,3025,22334,104
Year 2010-2011,2011-09-22,2748,148,2675,33225,73
Year 2010-2011,2011-09-23,2642,98,2591,21912,51
Year 2010-2011,2011-09-25,1987,78,1981,19505,6
Year 2010-2011,2011-09-26,1554,79,1528,15353,26
Year 2010-2011,2011-09-27,1897,115,1850,21965,47
Year 2010-2011,2011-09-28,2877,112,2830,25559,47
Year 2010-2011,2011-09-29,2508,116,2462,27682,46
Year 2010-2011,2011-09-30,1887,94,1843,22563,44
Year 2010-2011,2011-10-02,1429,36,1426,8385,3
Year 2010-2011,2011-10-03,2296,91,2270,26003,26
Year 2010-2011,2011-10-04,2797,104,2764,25806,33
Year 2010-2011,2011-10-05,2447,104,2389,46338,58
Year 2010-2011,2011-10-06,3189,218,2945,36847,244
Year 2010-2011,2011-10-07,2426,108,2359,31090,67
Year 2010-2011,2011-10-09,1292,41,1261,7556,31
Year 2010-2011,2011-10-10,3232,139,3161,26212,71
Year 2010-2011,2011-10-11,2467,105,2417,28524,50
Year 2010-2011,2011-10-12,2193,110,2032,17915,161
Year 2010-2011,2011-10-13,2358,106,2300,19108,58
Year 2010-2011,2011-10-14,1810,88,1778,18268,32
Year 2010-2011,2011-10-16,1254,39,1247,8770,7
Year 2010-2011,2011-10-17,2944,108,2902,31410,42
Year 2010-2011,2011-10-18,2908,109,2862,29588,46
Year 2010-2011,2011-10-19,2318,107,2271,19260,47
Year 2010-2011,2011-10-20,2350,106,2312,40919,38
Year 2010-2011,2011-10-21,1404,69,1387,24793,17
Year 2010-2011,2011-10-23,1728,45,1724,7073,4
Year 2010-2011,2011-10-24,2976,141,2847,26527,129
Year 2010-2011,2011-10-25,2492,112,2462,27073,30
Year 2010-2011,2011-10-26,1930,107,1911,21343,19
Year 2010-2011,2011-10-27,2540,137,2480,33910,60
Year 2010-2011,2011-10-28,1641,101,1615,24162,26
Year 2010-2011,2011-10-30,2907,97,2901,20068,6
Year 2010-2011,2011-10-31,3414,109,3373,21797,41
Year 2010-2011,2011-11-01,1786,105,1741,16913,45
Year 2010-2011,2011-11-02,2632,116,2594,28768,38
Year 2010-2011,2011-11-03,2419,124,2383,34618,36
Year 2010-2011,2011-11-04,3011,143,2909,35438,102
Year 2010-2011,2011-11-06,3437,104,3426,23309,11
Year 2010-2011,2011-11-07,2099,115,2051,31395,48
Year 2010-2011,2011-11-08,4070,144,3979,26538,91
Year 2010-2011,2011-11-09,2716,127,2690,38269,26
Year 2010-2011,2011-11-10,3275,184,3203,39239,72
Year 2010-2011,2011-11-11,4089,118,4071,29063,18
Year 2010-2011,2011-11-13,3018,93,2993,20840,25
Year 2010-2011,2011-11-14,3597,152,3528,47631,69
Year 2010-2011,2011-11-15,3445,142,3407,30912,38
Year 2010-2011,2011-11-16,4195,161,4150,33144,45
Year 2010-2011,2011-11-17,3621,170,3578,31993,43
Year 2010-2011,2011-11-18,2920,164,2825,24338,95
Year 2010-2011,2011-11-20,3334,105,3317,19416,17
Year 2010-2011,2011-11-21,2930,122,2887,25814,43
Year 2010-2011,2011-11-22,3967,174,3915,36025,52
Year 2010-2011,2011-11-23,3619,154,3562,39420,57
Year 2010-2011,2011-11-24,3766,146,3701,26629,65
Year 2010-2011,2011-11-25,3125,98,3092,31775,33
Year 2010-2011,2011-11-27,2543,60,2533,11173,10
Year 2010-2011,2011-11-28,3330,126,3304,29466,26
Year 2010-2011,2011-11-29,4313,151,4295,30940,18
Year 2010-2011,2011-11-30,3454,164,3364,28532,90
Year 2010-2011,2011-12-01,2901,169,2813,27051,88
Year 2010-2011,2011-12-02,2880,142,2832,28825,48
Year 2010-2011,2011-12-04,2038,72,2033,12412,5
Year 2010-2011,2011-12-05,5331,151,5302,44664,29
Year 2010-2011,2011-12-06,3365,149,3263,30469,102
Year 2010-2011,2011-12-07,2438,138,2396,41980,42
Year 2010-2011,2011-12-08,4940,145,4871,35672,69
Year 2010-2011,2011-12-09,1633,49,1626,93980,7
