recording_id,person_id,session,box,scenario,item_count,station_seconds_excluding_picking,picking_seconds,nonwork_or_error_seconds,elapsed_seconds,gap_seconds,missing_core_labels,incident_count,annotation_event_count,annotation_categories,review_flags,screen_pass
U0101,U0101,S0500,2,S1,1,55.679,6.605,0.0,62.284,0.0,,0,2,Investigation;Struggling,,True
U0101,U0101,S0500,3,S1,4,99.207,11.663,5.621,116.491,0.0,,0,1,Struggling,nonwork_or_error_label,False
U0101,U0101,S0500,4,S1,1,60.867,5.931,0.0,66.798,0.0,,0,0,,,True
U0101,U0101,S0500,5,S1,1,61.803,7.085,0.0,68.888,0.0,,0,1,Struggling,,True
U0101,U0101,S0500,6,S1,3,75.798,9.033,0.0,84.831,0.0,,1,2,Incident;Struggling,incident_or_recovery_overlap,False
U0101,U0101,S0500,7,S1,1,62.487,7.234,0.0,69.721,0.0,,0,0,,,True
U0101,U0101,S0500,8,S1,5,95.166,8.95,0.0,104.116,0.0,,0,1,Struggling,,True
U0101,U0101,S0500,9,S1,3,90.077,9.123,0.0,99.2,0.0,,0,2,Parallel;Struggling,,True
U0101,U0101,S0500,10,S1,2,79.122,8.413,0.0,87.535,0.0,,0,3,Parallel;Struggling,,True
U0101,U0101,S0500,11,S1,1,60.118,8.196,0.0,68.314,0.0,,0,2,Additional;Struggling,,True
U0101,U0101,S0500,12,S1,5,106.094,10.221,0.0,116.315,0.0,,0,2,Struggling,,True
U0101,U0101,S0500,13,S1,3,80.568,9.61,0.0,90.178,0.0,,1,3,Incident;Struggling,incident_or_recovery_overlap,False
U0101,U0101,S0500,14,S1,4,79.3,7.53,0.0,86.83,0.0,,0,1,Struggling,,True
U0101,U0101,S0500,15,S1,1,55.655,6.252,0.0,61.907,0.0,,0,2,Struggling,,True
U0101,U0101,S0500,16,S1,1,53.46,7.094,0.0,60.554,0.0,,0,3,Additional;Struggling,,True
U0101,U0101,S0500,17,S1,1,48.117,6.906,0.0,55.023,0.0,,0,0,,,True
U0101,U0101,S0500,18,S1,3,79.018,6.647,0.0,85.665,0.0,,0,1,Investigation,,True
U0101,U0101,S0500,19,S1,2,62.266,9.201,0.0,71.467,0.0,,0,1,Struggling,,True
U0101,U0101,S0500,20,S1,5,103.058,13.475,0.0,116.533,0.0,,0,2,Confused;Parallel,,True
U0102,U0102,S0100,1,S1,1,142.475,9.149,0.0,151.624,0.0,,0,1,Confused,,True
U0102,U0102,S0100,2,S1,1,115.926,12.193,0.0,128.119,0.0,,2,2,Incident;Recovery,incident_or_recovery_overlap,False
U0102,U0102,S0100,3,S1,4,166.74,18.563,0.0,185.303,0.0,,0,1,Struggling,,True
U0102,U0102,S0100,4,S1,2,152.786,11.78,0.0,218.579,54.013,,4,5,Confused;Incident;Recovery,incident_or_recovery_overlap,False
U0102,U0102,S0100,5,S1,4,181.566,25.628,0.0,218.496,11.302,,1,3,Recovery;Struggling,incident_or_recovery_overlap,False
U0102,U0102,S0100,6,S1,2,122.656,13.585,0.0,136.241,0.0,,0,0,,,True
U0102,U0102,S0100,7,S1,1,108.381,9.648,0.0,118.029,0.0,,0,0,,,True
U0102,U0102,S0100,8,S1,1,135.858,11.013,0.0,146.871,0.0,,0,4,Investigation;Parallel;Struggling,,True
U0102,U0102,S0100,9,S1,4,193.021,27.226,2.096,222.343,0.0,,2,5,Incident;Investigation;Recovery;Struggling,incident_or_recovery_overlap;nonwork_or_error_label,False
U0102,U0102,S0100,10,S1,2,133.747,13.2,0.0,146.947,0.0,,0,0,,,True
U0102,U0102,S0100,11,S1,1,101.15,8.079,0.0,109.229,0.0,,0,0,,,True
U0102,U0102,S0100,12,S1,3,148.953,14.262,0.0,163.215,0.0,,0,0,,,True
U0102,U0102,S0100,13,S1,1,91.95,8.744,0.0,100.694,0.0,,0,0,,,True
U0102,U0102,S0100,14,S1,3,167.409,15.884,5.486,188.779,0.0,,0,2,Struggling,nonwork_or_error_label,False
U0102,U0102,S0100,15,S1,1,114.473,9.89,8.801,133.164,-0.0,,0,1,Struggling,nonwork_or_error_label,False
U0102,U0102,S0100,16,S1,3,143.171,12.805,0.0,155.976,0.0,,0,1,Struggling,,True
U0102,U0102,S0100,17,S1,2,128.544,11.956,0.0,148.204,7.704,,0,2,Additional;Struggling,,True
U0102,U0102,S0100,18,S1,1,97.808,8.715,0.0,106.523,0.0,,0,0,,,True
U0102,U0102,S0100,19,S1,1,118.185,12.131,0.0,130.316,0.0,,0,0,,,True
U0102,U0102,S0100,20,S1,1,109.174,6.939,0.0,116.113,0.0,,0,1,Additional,,True
U0102,U0102,S0200,1,S1,1,104.139,15.961,0.0,120.1,0.0,,1,3,Additional;Incident,incident_or_recovery_overlap,False
U0102,U0102,S0200,2,S1,2,103.034,9.89,0.0,112.924,0.0,,1,1,Incident,incident_or_recovery_overlap,False
U0102,U0102,S0200,3,S1,3,125.162,11.137,0.0,136.299,0.0,,0,2,Additional;Struggling,,True
U0102,U0102,S0200,4,S1,2,114.864,9.794,0.0,124.658,0.0,,0,3,Additional;Investigation,,True
U0102,U0102,S0200,5,S1,1,88.79,6.751,0.0,95.541,0.0,,0,3,Additional;Confused;Parallel,,True
U0102,U0102,S0200,6,S1,1,86.019,7.853,0.0,93.872,0.0,,0,0,,,True
U0102,U0102,S0200,7,S1,2,109.303,8.884,0.0,118.187,0.0,,0,1,Struggling,,True
U0102,U0102,S0200,8,S1,1,83.285,9.022,0.0,92.307,0.0,,0,0,,,True
U0102,U0102,S0200,9,S1,1,92.998,9.306,0.0,102.304,0.0,,0,1,Additional,,True
U0102,U0102,S0200,10,S1,1,88.803,6.421,0.0,95.224,0.0,,0,0,,,True
U0102,U0102,S0200,11,S1,1,96.443,8.698,0.0,105.141,0.0,,0,2,Additional,,True
U0102,U0102,S0200,12,S1,2,115.77,11.567,0.0,127.337,0.0,,0,3,Additional;Struggling,,True
U0102,U0102,S0200,13,S1,4,158.096,14.094,0.0,172.19,0.0,,0,4,Additional;Confused;Struggling,,True
U0102,U0102,S0200,14,S1,3,169.925,10.58,0.0,180.505,0.0,,1,3,Additional;Confused;Incident,incident_or_recovery_overlap,False
U0102,U0102,S0200,15,S1,2,109.148,10.697,0.0,119.845,0.0,,0,4,Additional;Struggling,,True
U0102,U0102,S0200,16,S1,1,88.669,7.715,0.0,96.384,0.0,,0,2,Additional,,True
U0102,U0102,S0200,17,S1,1,88.999,8.232,0.0,97.231,0.0,,0,2,Additional,,True
U0102,U0102,S0200,18,S1,1,79.953,8.92,0.0,88.873,0.0,,0,1,Additional,,True
U0102,U0102,S0200,19,S1,3,137.165,10.013,0.0,147.178,0.0,,0,2,Additional;Struggling,,True
U0102,U0102,S0200,20,S1,1,101.99,6.63,0.0,108.62,0.0,,0,3,Additional;Struggling,,True
U0102,U0102,S0300,1,S1,2,102.596,12.739,0.0,115.335,0.0,,0,1,Struggling,,True
U0102,U0102,S0300,2,S1,1,100.029,6.421,0.0,106.45,0.0,,0,2,Parallel;Struggling,,True
U0102,U0102,S0300,3,S1,1,81.293,7.626,0.0,88.919,0.0,,0,1,Additional,,True
U0102,U0102,S0300,4,S1,1,89.27,9.843,0.0,99.113,0.0,,0,1,Additional,,True
U0102,U0102,S0300,5,S1,1,92.161,6.89,0.0,99.051,0.0,,0,1,Additional,,True
U0102,U0102,S0300,6,S1,1,99.237,6.63,0.0,105.867,0.0,,0,1,Additional,,True
U0102,U0102,S0300,7,S1,2,135.497,9.15,0.0,144.647,0.0,,3,5,Additional;Incident;Recovery;Struggling,incident_or_recovery_overlap,False
U0102,U0102,S0300,8,S1,1,110.39,6.82,0.0,117.21,-0.0,,0,2,Additional;Investigation,,True
U0102,U0102,S0300,9,S1,1,94.327,6.83,0.0,101.157,0.0,,0,2,Additional;Struggling,,True
U0102,U0102,S0300,10,S1,3,138.037,10.186,0.0,148.223,0.0,,0,3,Additional;Parallel;Struggling,,True
U0102,U0102,S0300,11,S1,2,119.362,9.589,0.0,128.951,0.0,,0,3,Additional;Struggling,,True
U0102,U0102,S0300,12,S1,1,79.34,7.177,0.0,86.517,0.0,,0,0,,,True
U0102,U0102,S0300,13,S1,1,80.649,6.863,0.0,87.512,0.0,,0,1,Additional,,True
U0102,U0102,S0300,14,S1,1,103.753,9.957,0.0,113.71,0.0,,0,2,Additional;Investigation,,True
U0102,U0102,S0300,15,S1,1,92.509,6.975,0.0,99.484,0.0,,0,1,Additional,,True
U0102,U0102,S0300,16,S1,1,84.845,6.606,0.0,91.451,0.0,,0,0,,,True
U0102,U0102,S0300,17,S1,1,109.008,8.599,5.653,123.26,0.0,,0,1,Struggling,nonwork_or_error_label,False
U0102,U0102,S0300,18,S1,1,103.282,9.991,0.0,113.273,0.0,,0,2,Additional,,True
U0102,U0102,S0300,19,S1,1,102.695,8.299,0.0,110.994,0.0,,0,3,Additional;Investigation,,True
U0102,U0102,S0300,20,S1,1,110.971,8.851,5.934,125.756,0.0,,0,1,Struggling,nonwork_or_error_label,False
U0102,U0102,S0400,1,S1,2,106.924,12.22,0.0,119.144,0.0,,0,2,Additional;Struggling,,True
U0102,U0102,S0400,2,S1,1,99.203,7.095,0.0,106.298,0.0,,0,2,Additional;Struggling,,True
U0102,U0102,S0400,3,S1,1,95.072,7.372,0.0,102.444,0.0,,0,3,Additional;Struggling,,True
U0102,U0102,S0400,4,S1,1,105.112,6.645,0.0,111.757,0.0,,0,2,Additional;Struggling,,True
U0102,U0102,S0400,5,S1,1,99.886,7.125,8.004,115.015,0.0,,0,1,Struggling,nonwork_or_error_label,False
U0102,U0102,S0400,6,S1,2,100.544,9.286,0.0,109.83,0.0,,2,3,Incident;Investigation;Recovery,incident_or_recovery_overlap,False
U0102,U0102,S0400,7,S1,2,90.518,8.898,0.0,99.416,0.0,,0,1,Additional,,True
U0102,U0102,S0400,8,S1,1,78.238,5.993,0.0,84.231,-0.0,,0,0,,,True
U0102,U0102,S0400,9,S1,1,75.96,7.353,0.0,83.313,0.0,,0,1,Additional,,True
U0102,U0102,S0400,10,S1,1,79.635,6.202,0.0,85.837,0.0,,0,0,,,True
U0102,U0102,S0400,11,S1,1,97.483,7.694,0.0,105.177,0.0,,0,2,Additional,,True
U0102,U0102,S0400,12,S1,1,80.651,7.263,0.0,87.914,0.0,,0,1,Additional,,True
U0102,U0102,S0400,13,S1,2,126.448,9.681,0.0,136.129,0.0,,0,2,Additional;Struggling,,True
U0102,U0102,S0400,14,S1,3,101.214,13.366,0.0,114.58,0.0,,0,1,Additional,,True
U0102,U0102,S0400,15,S1,1,79.883,8.375,0.0,88.258,0.0,,0,1,Additional,,True
U0102,U0102,S0400,16,S1,1,87.264,6.929,0.0,94.193,0.0,,0,0,,,True
U0102,U0102,S0400,17,S1,1,78.95,6.383,0.0,85.333,0.0,,0,1,Additional,,True
U0102,U0102,S0400,18,S1,1,82.529,6.589,0.0,89.118,-0.0,,0,3,Additional,,True
U0102,U0102,S0400,19,S1,1,85.914,7.935,0.0,93.849,0.0,,0,1,Additional,,True
U0102,U0102,S0400,20,S1,1,86.574,7.172,0.0,93.746,0.0,,0,3,Additional;Struggling,,True
U0102,U0102,S0500,1,S1,1,80.525,8.753,0.0,89.278,0.0,,0,2,Confused;Struggling,,True
U0102,U0102,S0500,2,S1,1,78.602,6.394,0.0,84.996,0.0,,0,0,,,True
U0102,U0102,S0500,3,S1,5,158.813,21.501,0.0,180.314,0.0,,0,3,Additional;Investigation;Struggling,,True
U0102,U0102,S0500,4,S1,5,186.485,23.403,10.595,220.483,0.0,,0,3,Investigation;Struggling,nonwork_or_error_label,False
U0102,U0102,S0500,5,S1,1,81.58,6.559,0.0,88.139,0.0,,0,1,Additional,,True
U0102,U0102,S0500,6,S1,2,101.353,8.326,0.0,109.679,0.0,,0,2,Additional,,True
U0102,U0102,S0500,7,S1,3,135.97,10.114,0.0,146.084,0.0,,0,3,Additional;Struggling,,True
U0102,U0102,S0500,8,S1,5,211.014,16.145,0.0,231.428,4.269,,1,3,Additional;Confused;Incident,incident_or_recovery_overlap,False
U0102,U0102,S0500,9,S1,1,88.397,5.554,0.0,93.951,-0.0,,0,3,Additional;Struggling,,True
U0102,U0102,S0500,10,S1,1,87.729,6.038,0.0,93.767,0.0,,0,2,Additional;Struggling,,True
U0102,U0102,S0500,11,S1,4,133.594,12.759,0.0,146.353,0.0,,0,3,Investigation;Struggling,,True
U0102,U0102,S0500,12,S1,1,85.709,7.903,0.0,93.612,0.0,,0,3,Additional;Struggling,,True
U0102,U0102,S0500,13,S1,2,93.346,8.425,0.0,101.771,0.0,,0,1,Confused,,True
U0102,U0102,S0500,14,S1,3,127.39,14.062,5.491,146.943,0.0,,0,0,,nonwork_or_error_label,False
U0103,U0103,S0100,11,S1,4,125.315,19.039,0.0,144.354,0.0,,0,2,Additional,,True
U0103,U0103,S0100,12,S1,4,107.929,14.704,0.0,127.894,5.261,Close Box,0,4,Additional;Investigation,missing_core_labels,False
U0103,U0103,S0100,13,S1,3,107.967,11.946,0.0,119.913,0.0,,0,3,Investigation;Struggling,,True
U0103,U0103,S0100,14,S1,1,87.618,9.079,0.0,100.86,4.163,,1,4,Additional;Incident;Investigation,incident_or_recovery_overlap,False
U0103,U0103,S0100,15,S1,2,115.237,10.247,0.0,125.484,0.0,,0,3,Additional;Confused;Investigation,,True
U0103,U0103,S0100,16,S1,5,153.056,19.752,0.0,172.808,0.0,,0,2,Additional;Investigation,,True
U0103,U0103,S0100,17,S1,1,80.154,13.646,0.0,93.8,0.0,,0,2,Additional,,True
U0103,U0103,S0100,18,S1,1,86.243,9.565,0.0,95.808,0.0,,0,3,Additional;Investigation,,True
U0103,U0103,S0100,19,S1,2,84.306,11.624,0.0,95.93,0.0,,0,3,Additional;Investigation,,True
U0103,U0103,S0100,20,S1,1,103.033,8.455,0.0,111.488,0.0,,0,3,Additional;Confused,,True
U0103,U0103,S0200,1,S1,2,112.067,12.006,0.0,124.073,0.0,,0,7,Additional;Confused;Investigation;Struggling,,True
U0103,U0103,S0200,2,S1,3,122.545,11.42,0.0,133.965,0.0,,0,3,Additional;Struggling,,True
U0103,U0103,S0200,3,S1,1,91.594,9.043,5.71,106.347,0.0,,0,0,,nonwork_or_error_label,False
U0103,U0103,S0200,4,S1,1,88.998,9.912,0.0,107.612,8.702,,0,4,Additional;Confused,,True
U0103,U0103,S0200,5,S1,3,106.921,12.967,0.0,119.888,0.0,,0,4,Additional;Investigation;Parallel;Struggling,,True
U0103,U0103,S0200,6,S1,3,96.811,11.212,0.0,108.023,0.0,,0,3,Additional;Investigation,,True
U0103,U0103,S0200,7,S1,2,103.049,12.662,0.0,115.711,0.0,,0,4,Additional;Investigation;Struggling,,True
U0103,U0103,S0200,8,S1,1,86.974,7.533,0.0,94.507,0.0,,0,3,Additional;Struggling,,True
U0103,U0103,S0200,9,S1,1,77.143,6.551,0.0,83.694,0.0,,0,2,Additional;Struggling,,True
U0103,U0103,S0200,10,S1,1,75.009,6.509,0.0,81.518,0.0,,0,3,Additional;Struggling,,True
U0103,U0103,S0200,11,S1,1,83.831,12.431,0.0,96.262,0.0,,0,7,Additional;Investigation;Struggling,,True
U0103,U0103,S0200,12,S1,1,82.865,11.537,0.0,94.402,0.0,,0,3,Additional,,True
U0103,U0103,S0200,13,S1,4,128.982,15.061,0.0,144.043,0.0,,0,3,Additional;Confused,,True
U0103,U0103,S0200,14,S1,1,93.783,10.449,0.0,104.232,0.0,,0,3,Additional;Investigation,,True
U0103,U0103,S0200,15,S1,2,83.767,8.212,0.0,91.979,0.0,,0,2,Additional;Struggling,,True
U0103,U0103,S0200,16,S1,5,143.807,12.874,0.0,156.681,0.0,,0,6,Additional;Confused;Investigation;Struggling,,True
U0103,U0103,S0200,17,S1,1,80.155,12.0,0.0,92.155,0.0,,0,3,Additional;Struggling,,True
U0103,U0103,S0200,18,S1,1,75.475,7.194,0.0,82.669,0.0,,0,4,Additional;Parallel;Struggling,,True
U0103,U0103,S0200,19,S1,2,106.81,9.436,0.0,116.246,0.0,,0,4,Additional;Struggling,,True
U0103,U0103,S0200,20,S1,2,87.122,8.984,0.0,96.106,0.0,,0,2,Additional,,True
U0103,U0103,S0300,1,S1,1,85.987,8.32,0.0,94.307,0.0,,0,2,Additional,,True
U0103,U0103,S0300,2,S1,1,81.456,11.419,0.0,92.875,0.0,,1,3,Additional;Incident,incident_or_recovery_overlap,False
U0103,U0103,S0300,3,S1,1,81.876,8.402,0.0,90.278,0.0,,0,3,Additional,,True
U0103,U0103,S0300,4,S1,1,70.315,6.553,0.0,76.868,0.0,,0,2,Additional;Parallel,,True
U0103,U0103,S0300,5,S1,5,122.749,8.792,0.0,131.541,0.0,,0,4,Additional;Confused;Parallel,,True
U0103,U0103,S0300,6,S1,1,67.871,8.819,0.0,76.69,0.0,,0,2,Additional;Parallel,,True
U0103,U0103,S0300,7,S1,1,91.515,10.181,0.0,101.696,0.0,,0,3,Additional;Investigation,,True
U0103,U0103,S0300,8,S1,1,94.098,8.772,1.21,104.08,0.0,,0,0,,nonwork_or_error_label,False
U0103,U0103,S0300,9,S1,5,140.398,15.224,0.0,155.622,0.0,,0,4,Additional;Investigation;Struggling,,True
U0103,U0103,S0300,10,S1,4,148.756,12.557,0.0,161.313,-0.0,,0,4,Additional;Confused;Investigation;Struggling,,True
U0103,U0103,S0300,11,S1,1,71.893,7.963,0.0,79.856,0.0,,0,2,Additional,,True
U0103,U0103,S0300,12,S1,1,71.259,8.134,0.0,79.393,0.0,,0,2,Additional;Confused,,True
U0103,U0103,S0300,13,S1,1,83.043,9.441,0.0,92.484,-0.0,,0,3,Additional;Struggling,,True
U0103,U0103,S0300,14,S1,2,91.413,9.537,0.0,100.95,0.0,,0,2,Additional,,True
U0103,U0103,S0300,15,S1,3,111.725,10.317,2.419,124.461,0.0,,0,0,,nonwork_or_error_label,False
U0103,U0103,S0300,16,S1,1,78.401,9.672,0.0,88.073,0.0,,0,3,Additional;Investigation,,True
U0103,U0103,S0300,17,S1,1,74.704,10.026,0.0,84.73,0.0,,0,3,Additional;Parallel,,True
U0103,U0103,S0300,18,S1,1,79.514,7.456,0.0,86.97,0.0,,0,3,Additional,,True
U0103,U0103,S0300,19,S1,3,116.799,10.102,0.0,126.901,0.0,,0,5,Additional;Struggling,,True
U0103,U0103,S0300,20,S1,1,88.894,7.478,0.0,96.372,0.0,,0,7,Additional;Confused;Struggling,,True
U0103,U0103,S0400,1,S1,1,71.785,7.825,0.0,79.61,0.0,,0,1,Additional,,True
U0103,U0103,S0400,2,S1,3,93.299,10.234,0.0,103.533,0.0,,0,3,Additional,,True
U0103,U0103,S0400,3,S1,5,139.056,12.367,0.0,151.423,0.0,,0,7,Additional;Confused;Investigation;Struggling,,True
U0103,U0103,S0400,4,S1,1,84.819,7.22,0.0,92.039,0.0,,0,3,Additional,,True
