demand_key,basis,date,segment,orders,units,evidence
retained|2023-01-05|large_over_5,retained,2023-01-05,large_over_5,53,1911,Observed source aggregation; duplicate interpretation varies
retained|2023-03-01|large_over_5,retained,2023-03-01,large_over_5,8,88,Observed source aggregation; duplicate interpretation varies
retained|2023-03-01|small_1_5,retained,2023-03-01,small_1_5,96,139,Observed source aggregation; duplicate interpretation varies
retained|2023-03-02|large_over_5,retained,2023-03-02,large_over_5,58,2088,Observed source aggregation; duplicate interpretation varies
retained|2023-03-02|small_1_5,retained,2023-03-02,small_1_5,235,407,Observed source aggregation; duplicate interpretation varies
retained|2023-03-03|large_over_5,retained,2023-03-03,large_over_5,20,512,Observed source aggregation; duplicate interpretation varies
retained|2023-03-03|small_1_5,retained,2023-03-03,small_1_5,117,197,Observed source aggregation; duplicate interpretation varies
retained|2023-03-06|large_over_5,retained,2023-03-06,large_over_5,37,1210,Observed source aggregation; duplicate interpretation varies
retained|2023-03-06|small_1_5,retained,2023-03-06,small_1_5,229,376,Observed source aggregation; duplicate interpretation varies
retained|2023-03-07|large_over_5,retained,2023-03-07,large_over_5,14,230,Observed source aggregation; duplicate interpretation varies
retained|2023-03-07|small_1_5,retained,2023-03-07,small_1_5,139,249,Observed source aggregation; duplicate interpretation varies
retained|2023-03-08|large_over_5,retained,2023-03-08,large_over_5,57,1093,Observed source aggregation; duplicate interpretation varies
retained|2023-03-08|small_1_5,retained,2023-03-08,small_1_5,340,636,Observed source aggregation; duplicate interpretation varies
retained|2023-03-09|large_over_5,retained,2023-03-09,large_over_5,38,917,Observed source aggregation; duplicate interpretation varies
retained|2023-03-09|small_1_5,retained,2023-03-09,small_1_5,92,161,Observed source aggregation; duplicate interpretation varies
retained|2023-03-10|large_over_5,retained,2023-03-10,large_over_5,15,174,Observed source aggregation; duplicate interpretation varies
retained|2023-03-10|small_1_5,retained,2023-03-10,small_1_5,126,208,Observed source aggregation; duplicate interpretation varies
retained|2023-03-12|large_over_5,retained,2023-03-12,large_over_5,14,376,Observed source aggregation; duplicate interpretation varies
retained|2023-03-12|small_1_5,retained,2023-03-12,small_1_5,32,61,Observed source aggregation; duplicate interpretation varies
retained|2023-03-14|large_over_5,retained,2023-03-14,large_over_5,50,1458,Observed source aggregation; duplicate interpretation varies
retained|2023-03-14|small_1_5,retained,2023-03-14,small_1_5,136,198,Observed source aggregation; duplicate interpretation varies
retained|2023-03-15|large_over_5,retained,2023-03-15,large_over_5,15,255,Observed source aggregation; duplicate interpretation varies
retained|2023-03-15|small_1_5,retained,2023-03-15,small_1_5,76,129,Observed source aggregation; duplicate interpretation varies
retained|2023-03-16|large_over_5,retained,2023-03-16,large_over_5,51,1315,Observed source aggregation; duplicate interpretation varies
retained|2023-03-16|small_1_5,retained,2023-03-16,small_1_5,112,203,Observed source aggregation; duplicate interpretation varies
retained|2023-03-16|zero,retained,2023-03-16,zero,1,0,Observed source aggregation; duplicate interpretation varies
retained|2023-03-17|large_over_5,retained,2023-03-17,large_over_5,1,2400,Observed source aggregation; duplicate interpretation varies
retained|2023-03-22|large_over_5,retained,2023-03-22,large_over_5,140,4999,Observed source aggregation; duplicate interpretation varies
retained|2023-03-22|small_1_5,retained,2023-03-22,small_1_5,465,912,Observed source aggregation; duplicate interpretation varies
retained|2023-03-27|large_over_5,retained,2023-03-27,large_over_5,1,1277,Observed source aggregation; duplicate interpretation varies
retained|2023-03-28|large_over_5,retained,2023-03-28,large_over_5,2,22,Observed source aggregation; duplicate interpretation varies
retained|2023-03-28|small_1_5,retained,2023-03-28,small_1_5,75,80,Observed source aggregation; duplicate interpretation varies
retained|2023-03-29|large_over_5,retained,2023-03-29,large_over_5,121,2808,Observed source aggregation; duplicate interpretation varies
retained|2023-03-29|small_1_5,retained,2023-03-29,small_1_5,316,674,Observed source aggregation; duplicate interpretation varies
retained|2023-04-03|large_over_5,retained,2023-04-03,large_over_5,94,2487,Observed source aggregation; duplicate interpretation varies
retained|2023-04-03|small_1_5,retained,2023-04-03,small_1_5,315,585,Observed source aggregation; duplicate interpretation varies
retained|2023-04-04|large_over_5,retained,2023-04-04,large_over_5,53,1086,Observed source aggregation; duplicate interpretation varies
retained|2023-04-04|small_1_5,retained,2023-04-04,small_1_5,209,346,Observed source aggregation; duplicate interpretation varies
retained|2023-04-05|large_over_5,retained,2023-04-05,large_over_5,30,613,Observed source aggregation; duplicate interpretation varies
retained|2023-04-05|small_1_5,retained,2023-04-05,small_1_5,118,195,Observed source aggregation; duplicate interpretation varies
retained|2023-04-06|large_over_5,retained,2023-04-06,large_over_5,26,741,Observed source aggregation; duplicate interpretation varies
retained|2023-04-06|small_1_5,retained,2023-04-06,small_1_5,109,168,Observed source aggregation; duplicate interpretation varies
retained|2023-04-11|large_over_5,retained,2023-04-11,large_over_5,47,1031,Observed source aggregation; duplicate interpretation varies
retained|2023-04-11|small_1_5,retained,2023-04-11,small_1_5,158,253,Observed source aggregation; duplicate interpretation varies
retained|2023-04-13|large_over_5,retained,2023-04-13,large_over_5,117,2821,Observed source aggregation; duplicate interpretation varies
retained|2023-04-13|small_1_5,retained,2023-04-13,small_1_5,329,668,Observed source aggregation; duplicate interpretation varies
retained|2023-04-17|large_over_5,retained,2023-04-17,large_over_5,96,2220,Observed source aggregation; duplicate interpretation varies
retained|2023-04-17|small_1_5,retained,2023-04-17,small_1_5,230,441,Observed source aggregation; duplicate interpretation varies
retained|2023-04-18|large_over_5,retained,2023-04-18,large_over_5,23,402,Observed source aggregation; duplicate interpretation varies
retained|2023-04-18|small_1_5,retained,2023-04-18,small_1_5,57,111,Observed source aggregation; duplicate interpretation varies
retained|2023-04-19|large_over_5,retained,2023-04-19,large_over_5,35,1013,Observed source aggregation; duplicate interpretation varies
retained|2023-04-19|small_1_5,retained,2023-04-19,small_1_5,160,312,Observed source aggregation; duplicate interpretation varies
retained|2023-04-20|large_over_5,retained,2023-04-20,large_over_5,40,655,Observed source aggregation; duplicate interpretation varies
retained|2023-04-20|small_1_5,retained,2023-04-20,small_1_5,137,223,Observed source aggregation; duplicate interpretation varies
retained|2023-04-21|large_over_5,retained,2023-04-21,large_over_5,22,348,Observed source aggregation; duplicate interpretation varies
retained|2023-04-21|small_1_5,retained,2023-04-21,small_1_5,83,149,Observed source aggregation; duplicate interpretation varies
retained|2023-04-24|large_over_5,retained,2023-04-24,large_over_5,63,1488,Observed source aggregation; duplicate interpretation varies
retained|2023-04-24|small_1_5,retained,2023-04-24,small_1_5,217,312,Observed source aggregation; duplicate interpretation varies
retained|2023-04-25|large_over_5,retained,2023-04-25,large_over_5,11,646,Observed source aggregation; duplicate interpretation varies
retained|2023-04-25|small_1_5,retained,2023-04-25,small_1_5,103,173,Observed source aggregation; duplicate interpretation varies
retained|2023-04-26|large_over_5,retained,2023-04-26,large_over_5,62,1394,Observed source aggregation; duplicate interpretation varies
retained|2023-04-26|small_1_5,retained,2023-04-26,small_1_5,120,197,Observed source aggregation; duplicate interpretation varies
retained|2023-04-27|large_over_5,retained,2023-04-27,large_over_5,13,238,Observed source aggregation; duplicate interpretation varies
retained|2023-04-27|small_1_5,retained,2023-04-27,small_1_5,60,89,Observed source aggregation; duplicate interpretation varies
retained|2023-04-28|large_over_5,retained,2023-04-28,large_over_5,14,258,Observed source aggregation; duplicate interpretation varies
retained|2023-04-28|small_1_5,retained,2023-04-28,small_1_5,107,174,Observed source aggregation; duplicate interpretation varies
retained|2023-05-01|large_over_5,retained,2023-05-01,large_over_5,34,742,Observed source aggregation; duplicate interpretation varies
retained|2023-05-01|small_1_5,retained,2023-05-01,small_1_5,151,244,Observed source aggregation; duplicate interpretation varies
retained|2023-05-02|large_over_5,retained,2023-05-02,large_over_5,33,964,Observed source aggregation; duplicate interpretation varies
retained|2023-05-02|small_1_5,retained,2023-05-02,small_1_5,116,181,Observed source aggregation; duplicate interpretation varies
retained|2023-05-03|large_over_5,retained,2023-05-03,large_over_5,47,1088,Observed source aggregation; duplicate interpretation varies
retained|2023-05-03|small_1_5,retained,2023-05-03,small_1_5,192,378,Observed source aggregation; duplicate interpretation varies
retained|2023-05-04|large_over_5,retained,2023-05-04,large_over_5,78,2383,Observed source aggregation; duplicate interpretation varies
retained|2023-05-04|small_1_5,retained,2023-05-04,small_1_5,179,315,Observed source aggregation; duplicate interpretation varies
retained|2023-05-05|large_over_5,retained,2023-05-05,large_over_5,19,813,Observed source aggregation; duplicate interpretation varies
retained|2023-05-05|small_1_5,retained,2023-05-05,small_1_5,74,117,Observed source aggregation; duplicate interpretation varies
retained|2023-05-08|large_over_5,retained,2023-05-08,large_over_5,19,2180,Observed source aggregation; duplicate interpretation varies
retained|2023-05-08|small_1_5,retained,2023-05-08,small_1_5,84,118,Observed source aggregation; duplicate interpretation varies
retained|2023-05-09|large_over_5,retained,2023-05-09,large_over_5,91,1653,Observed source aggregation; duplicate interpretation varies
retained|2023-05-09|small_1_5,retained,2023-05-09,small_1_5,130,228,Observed source aggregation; duplicate interpretation varies
retained|2023-05-11|large_over_5,retained,2023-05-11,large_over_5,96,1523,Observed source aggregation; duplicate interpretation varies
retained|2023-05-11|small_1_5,retained,2023-05-11,small_1_5,206,463,Observed source aggregation; duplicate interpretation varies
retained|2023-05-12|large_over_5,retained,2023-05-12,large_over_5,29,473,Observed source aggregation; duplicate interpretation varies
retained|2023-05-12|small_1_5,retained,2023-05-12,small_1_5,143,271,Observed source aggregation; duplicate interpretation varies
retained|2023-05-15|large_over_5,retained,2023-05-15,large_over_5,38,961,Observed source aggregation; duplicate interpretation varies
retained|2023-05-15|small_1_5,retained,2023-05-15,small_1_5,59,88,Observed source aggregation; duplicate interpretation varies
retained|2023-05-16|large_over_5,retained,2023-05-16,large_over_5,69,3409,Observed source aggregation; duplicate interpretation varies
retained|2023-05-16|small_1_5,retained,2023-05-16,small_1_5,194,413,Observed source aggregation; duplicate interpretation varies
retained|2023-05-18|large_over_5,retained,2023-05-18,large_over_5,82,1799,Observed source aggregation; duplicate interpretation varies
retained|2023-05-18|small_1_5,retained,2023-05-18,small_1_5,92,200,Observed source aggregation; duplicate interpretation varies
retained|2023-05-19|large_over_5,retained,2023-05-19,large_over_5,49,1230,Observed source aggregation; duplicate interpretation varies
retained|2023-05-19|small_1_5,retained,2023-05-19,small_1_5,155,296,Observed source aggregation; duplicate interpretation varies
retained|2023-05-23|large_over_5,retained,2023-05-23,large_over_5,68,1461,Observed source aggregation; duplicate interpretation varies
retained|2023-05-23|small_1_5,retained,2023-05-23,small_1_5,210,405,Observed source aggregation; duplicate interpretation varies
retained|2023-05-23|zero,retained,2023-05-23,zero,1,0,Observed source aggregation; duplicate interpretation varies
retained|2023-05-25|large_over_5,retained,2023-05-25,large_over_5,63,1678,Observed source aggregation; duplicate interpretation varies
retained|2023-05-25|small_1_5,retained,2023-05-25,small_1_5,105,191,Observed source aggregation; duplicate interpretation varies
retained|2023-05-26|large_over_5,retained,2023-05-26,large_over_5,52,980,Observed source aggregation; duplicate interpretation varies
retained|2023-05-26|small_1_5,retained,2023-05-26,small_1_5,194,378,Observed source aggregation; duplicate interpretation varies
retained|2023-05-29|large_over_5,retained,2023-05-29,large_over_5,58,1069,Observed source aggregation; duplicate interpretation varies
retained|2023-05-29|small_1_5,retained,2023-05-29,small_1_5,133,216,Observed source aggregation; duplicate interpretation varies
retained|2023-05-30|large_over_5,retained,2023-05-30,large_over_5,32,1302,Observed source aggregation; duplicate interpretation varies
retained|2023-05-30|small_1_5,retained,2023-05-30,small_1_5,132,283,Observed source aggregation; duplicate interpretation varies
retained|2023-05-31|large_over_5,retained,2023-05-31,large_over_5,45,1098,Observed source aggregation; duplicate interpretation varies
retained|2023-05-31|small_1_5,retained,2023-05-31,small_1_5,153,271,Observed source aggregation; duplicate interpretation varies
retained|2023-06-01|large_over_5,retained,2023-06-01,large_over_5,23,534,Observed source aggregation; duplicate interpretation varies
retained|2023-06-01|small_1_5,retained,2023-06-01,small_1_5,111,175,Observed source aggregation; duplicate interpretation varies
retained|2023-06-02|large_over_5,retained,2023-06-02,large_over_5,7,88,Observed source aggregation; duplicate interpretation varies
retained|2023-06-02|small_1_5,retained,2023-06-02,small_1_5,22,29,Observed source aggregation; duplicate interpretation varies
retained|2023-06-05|large_over_5,retained,2023-06-05,large_over_5,48,1225,Observed source aggregation; duplicate interpretation varies
retained|2023-06-05|small_1_5,retained,2023-06-05,small_1_5,145,225,Observed source aggregation; duplicate interpretation varies
retained|2023-06-06|large_over_5,retained,2023-06-06,large_over_5,41,561,Observed source aggregation; duplicate interpretation varies
retained|2023-06-06|small_1_5,retained,2023-06-06,small_1_5,198,395,Observed source aggregation; duplicate interpretation varies
retained|2023-06-07|large_over_5,retained,2023-06-07,large_over_5,32,2811,Observed source aggregation; duplicate interpretation varies
retained|2023-06-07|small_1_5,retained,2023-06-07,small_1_5,112,193,Observed source aggregation; duplicate interpretation varies
retained|2023-06-08|large_over_5,retained,2023-06-08,large_over_5,4,78,Observed source aggregation; duplicate interpretation varies
retained|2023-06-08|small_1_5,retained,2023-06-08,small_1_5,30,44,Observed source aggregation; duplicate interpretation varies
retained|2023-06-09|large_over_5,retained,2023-06-09,large_over_5,26,518,Observed source aggregation; duplicate interpretation varies
retained|2023-06-09|small_1_5,retained,2023-06-09,small_1_5,105,190,Observed source aggregation; duplicate interpretation varies
retained|2023-06-12|large_over_5,retained,2023-06-12,large_over_5,56,1148,Observed source aggregation; duplicate interpretation varies
retained|2023-06-12|small_1_5,retained,2023-06-12,small_1_5,83,134,Observed source aggregation; duplicate interpretation varies
retained|2023-06-13|large_over_5,retained,2023-06-13,large_over_5,20,431,Observed source aggregation; duplicate interpretation varies
retained|2023-06-13|small_1_5,retained,2023-06-13,small_1_5,59,90,Observed source aggregation; duplicate interpretation varies
retained|2023-06-14|large_over_5,retained,2023-06-14,large_over_5,50,1800,Observed source aggregation; duplicate interpretation varies
retained|2023-06-14|small_1_5,retained,2023-06-14,small_1_5,142,295,Observed source aggregation; duplicate interpretation varies
retained|2023-06-15|large_over_5,retained,2023-06-15,large_over_5,18,378,Observed source aggregation; duplicate interpretation varies
retained|2023-06-15|small_1_5,retained,2023-06-15,small_1_5,69,100,Observed source aggregation; duplicate interpretation varies
retained|2023-06-16|large_over_5,retained,2023-06-16,large_over_5,5,65,Observed source aggregation; duplicate interpretation varies
retained|2023-06-16|small_1_5,retained,2023-06-16,small_1_5,50,78,Observed source aggregation; duplicate interpretation varies
retained|2023-06-19|large_over_5,retained,2023-06-19,large_over_5,63,3190,Observed source aggregation; duplicate interpretation varies
retained|2023-06-19|small_1_5,retained,2023-06-19,small_1_5,131,226,Observed source aggregation; duplicate interpretation varies
retained|2023-06-20|large_over_5,retained,2023-06-20,large_over_5,12,485,Observed source aggregation; duplicate interpretation varies
retained|2023-06-20|small_1_5,retained,2023-06-20,small_1_5,123,195,Observed source aggregation; duplicate interpretation varies
retained|2023-06-21|large_over_5,retained,2023-06-21,large_over_5,14,382,Observed source aggregation; duplicate interpretation varies
retained|2023-06-21|small_1_5,retained,2023-06-21,small_1_5,86,154,Observed source aggregation; duplicate interpretation varies
retained|2023-06-22|large_over_5,retained,2023-06-22,large_over_5,16,426,Observed source aggregation; duplicate interpretation varies
retained|2023-06-22|small_1_5,retained,2023-06-22,small_1_5,58,91,Observed source aggregation; duplicate interpretation varies
retained|2023-06-26|large_over_5,retained,2023-06-26,large_over_5,82,1576,Observed source aggregation; duplicate interpretation varies
retained|2023-06-26|small_1_5,retained,2023-06-26,small_1_5,256,474,Observed source aggregation; duplicate interpretation varies
retained|2023-06-27|large_over_5,retained,2023-06-27,large_over_5,55,1519,Observed source aggregation; duplicate interpretation varies
retained|2023-06-27|small_1_5,retained,2023-06-27,small_1_5,193,376,Observed source aggregation; duplicate interpretation varies
retained|2023-06-28|large_over_5,retained,2023-06-28,large_over_5,30,449,Observed source aggregation; duplicate interpretation varies
retained|2023-06-28|small_1_5,retained,2023-06-28,small_1_5,107,187,Observed source aggregation; duplicate interpretation varies
retained|2023-06-29|large_over_5,retained,2023-06-29,large_over_5,6,77,Observed source aggregation; duplicate interpretation varies
retained|2023-06-29|small_1_5,retained,2023-06-29,small_1_5,71,109,Observed source aggregation; duplicate interpretation varies
retained|2023-06-30|large_over_5,retained,2023-06-30,large_over_5,1,1920,Observed source aggregation; duplicate interpretation varies
retained|2023-07-03|large_over_5,retained,2023-07-03,large_over_5,50,1091,Observed source aggregation; duplicate interpretation varies
retained|2023-07-03|small_1_5,retained,2023-07-03,small_1_5,144,264,Observed source aggregation; duplicate interpretation varies
retained|2023-07-04|large_over_5,retained,2023-07-04,large_over_5,48,844,Observed source aggregation; duplicate interpretation varies
retained|2023-07-04|small_1_5,retained,2023-07-04,small_1_5,222,416,Observed source aggregation; duplicate interpretation varies
retained|2023-07-06|large_over_5,retained,2023-07-06,large_over_5,73,1805,Observed source aggregation; duplicate interpretation varies
retained|2023-07-06|small_1_5,retained,2023-07-06,small_1_5,353,590,Observed source aggregation; duplicate interpretation varies
retained|2023-07-07|large_over_5,retained,2023-07-07,large_over_5,4,126,Observed source aggregation; duplicate interpretation varies
retained|2023-07-07|small_1_5,retained,2023-07-07,small_1_5,35,54,Observed source aggregation; duplicate interpretation varies
retained|2023-07-10|large_over_5,retained,2023-07-10,large_over_5,29,816,Observed source aggregation; duplicate interpretation varies
retained|2023-07-10|small_1_5,retained,2023-07-10,small_1_5,74,136,Observed source aggregation; duplicate interpretation varies
retained|2023-07-11|large_over_5,retained,2023-07-11,large_over_5,61,1373,Observed source aggregation; duplicate interpretation varies
retained|2023-07-11|small_1_5,retained,2023-07-11,small_1_5,169,338,Observed source aggregation; duplicate interpretation varies
retained|2023-07-12|large_over_5,retained,2023-07-12,large_over_5,29,778,Observed source aggregation; duplicate interpretation varies
retained|2023-07-12|small_1_5,retained,2023-07-12,small_1_5,136,231,Observed source aggregation; duplicate interpretation varies
retained|2023-07-13|large_over_5,retained,2023-07-13,large_over_5,23,455,Observed source aggregation; duplicate interpretation varies
retained|2023-07-13|small_1_5,retained,2023-07-13,small_1_5,56,95,Observed source aggregation; duplicate interpretation varies
retained|2023-07-17|large_over_5,retained,2023-07-17,large_over_5,70,1324,Observed source aggregation; duplicate interpretation varies
retained|2023-07-17|small_1_5,retained,2023-07-17,small_1_5,206,361,Observed source aggregation; duplicate interpretation varies
retained|2023-07-18|large_over_5,retained,2023-07-18,large_over_5,26,1517,Observed source aggregation; duplicate interpretation varies
retained|2023-07-18|small_1_5,retained,2023-07-18,small_1_5,115,180,Observed source aggregation; duplicate interpretation varies
retained|2023-07-19|large_over_5,retained,2023-07-19,large_over_5,32,875,Observed source aggregation; duplicate interpretation varies
retained|2023-07-19|small_1_5,retained,2023-07-19,small_1_5,62,117,Observed source aggregation; duplicate interpretation varies
retained|2023-07-20|large_over_5,retained,2023-07-20,large_over_5,14,167,Observed source aggregation; duplicate interpretation varies
retained|2023-07-20|small_1_5,retained,2023-07-20,small_1_5,89,172,Observed source aggregation; duplicate interpretation varies
retained|2023-07-24|large_over_5,retained,2023-07-24,large_over_5,47,886,Observed source aggregation; duplicate interpretation varies
retained|2023-07-24|small_1_5,retained,2023-07-24,small_1_5,100,201,Observed source aggregation; duplicate interpretation varies
retained|2023-07-25|large_over_5,retained,2023-07-25,large_over_5,24,718,Observed source aggregation; duplicate interpretation varies
